index,prompt_tokens,time,completion_tokens,total_tokens,total_cost,temparature,top_p,model,ref_sim
64,2092,165.85844564437866,4759,6851,0.01097065,,,deepseek/deepseek-r1-0528,0.1346153846153846
65,2059,211.8792471885681,5291,7350,0.013952,,,deepseek/deepseek-r1-0528,0.0444444444444444
66,1478,151.723637342453,4244,5722,0.0111294,,,deepseek/deepseek-r1-0528,0.1818181818181818
67,2045,149.90355253219604,3751,5796,0.0101146,,,deepseek/deepseek-r1-0528,0.0
68,2657,231.2587294578552,7329,9986,0.01669225,,,deepseek/deepseek-r1-0528,0.064516129032258
69,2542,141.2409691810608,4456,6998,0.010477,,,deepseek/deepseek-r1-0528,0.0
70,2169,193.4600825309753,5087,7256,0.0134966,,,deepseek/deepseek-r1-0528,0.1282051282051282
71,2161,215.37296390533447,5884,8045,0.0154835,,,deepseek/deepseek-r1-0528,0.0833333333333333
72,3237,248.86270117759705,6946,10183,0.01671425,,,deepseek/deepseek-r1-0528,0.3333333333333333
73,2165,269.2470135688782,9066,11231,0.0202576,,,deepseek/deepseek-r1-0528,0.0
74,2431,283.5843458175659,8668,11099,0.0225429,,,deepseek/deepseek-r1-0528,0.0
75,2053,107.2535364627838,3157,5210,0.00776605,,,deepseek/deepseek-r1-0528,0.1521739130434782
76,2668,194.2713413238525,6539,9207,0.0172967,,,deepseek/deepseek-r1-0528,0.2
77,2708,202.85603857040405,7076,9784,0.0194736,,,deepseek/deepseek-r1-0528,0.2222222222222222
78,3865,89.77607131004333,3039,6904,0.00789035,,,deepseek/deepseek-r1-0528,0.2
79,2704,179.68049025535583,5141,7845,0.01235715,,,deepseek/deepseek-r1-0528,0.0454545454545454
80,2623,134.974018573761,3540,6163,0.0085385,,,deepseek/deepseek-r1-0528,0.09375
0,1943,424.3510160446167,5253,7196,0.00290789,,0.95,deepseek/deepseek-v3.2,0.1379310344827586
1,1492,399.1389901638031,5526,7018,0.00290446,,0.95,deepseek/deepseek-v3.2,0.1052631578947368
2,2297,361.26360988616943,10629,12926,0.00463624,,0.95,deepseek/deepseek-v3.2,0.2105263157894736
3,2866,129.55329203605652,3800,6666,0.002290954,,0.95,deepseek/deepseek-v3.2,0.2272727272727272
4,1378,377.5682878494263,11313,12691,0.00461562,,0.95,deepseek/deepseek-v3.2,0.0
5,2331,746.4518783092499,7313,9644,0.0033434,,0.95,deepseek/deepseek-v3.2,0.2962962962962963
6,2095,347.2734351158142,10390,12485,0.004719555,,0.95,deepseek/deepseek-v3.2,0.1891891891891892
7,1838,144.4866828918457,4205,6043,0.002176422,,0.95,deepseek/deepseek-v3.2,0.0
8,2497,467.0825333595276,4606,7103,0.0023579,,0.95,deepseek/deepseek-v3.2,0.1428571428571428
9,3168,148.50838804244995,4311,7479,0.00246186,,0.95,deepseek/deepseek-v3.2,0.1538461538461538
10,1733,149.74686098098755,4366,6099,0.0074155,,0.95,deepseek/deepseek-v3.2,0.2
11,1786,196.7630109786988,4362,6148,0.00231426,,0.95,deepseek/deepseek-v3.2,0.1282051282051282
12,1576,186.82996582984924,3795,5371,0.00201942,,0.95,deepseek/deepseek-v3.2,0.0
13,1333,145.59784626960754,4159,5492,0.002022177,,0.95,deepseek/deepseek-v3.2,0.1
14,2155,484.5420632362366,6011,8166,0.00330835,,0.95,deepseek/deepseek-v3.2,0.0416666666666666
15,2583,282.79514479637146,9983,12566,0.01821792,,0.95,deepseek/deepseek-v3.2,0.217391304347826
16,2121,242.53433346748352,9613,11734,0.00461013,,0.95,deepseek/deepseek-v3.2,0.2727272727272727
17,2186,191.67026329040527,4985,7171,0.002582034,,0.95,deepseek/deepseek-v3.2,0.0833333333333333
18,1861,138.34369468688965,4068,5929,0.0020297,,0.95,deepseek/deepseek-v3.2,0.0666666666666666
19,2847,148.14726781845093,4321,7168,0.0023822,,0.95,deepseek/deepseek-v3.2,0.0555555555555555
20,2535,586.5403277873993,6774,9309,0.00319162,,0.95,deepseek/deepseek-v3.2,0.0
21,2785,299.3225646018982,4168,6953,0.0026554,,0.95,deepseek/deepseek-v3.2,0.1304347826086956
22,1573,293.20323753356934,8725,10298,0.00372448,,0.95,deepseek/deepseek-v3.2,0.0606060606060606
23,2626,116.57712721824646,4436,7062,0.00257214,,0.95,deepseek/deepseek-v3.2,0.1764705882352941
24,1439,439.5731530189514,4283,5722,0.00199336,,0.95,deepseek/deepseek-v3.2,0.0588235294117647
25,2330,648.9907846450806,7458,9788,0.00343152,,0.95,deepseek/deepseek-v3.2,0.1304347826086956
26,2789,213.3613975048065,5907,8696,0.003113041,,0.95,deepseek/deepseek-v3.2,0.1707317073170731
27,2425,753.6899914741516,7357,9782,0.00341784,,0.95,deepseek/deepseek-v3.2,0.0857142857142857
28,912,257.5683264732361,3390,4302,0.00178086,,0.95,deepseek/deepseek-v3.2,0.1428571428571428
29,1556,190.28299403190613,3753,5309,0.00199638,,0.95,deepseek/deepseek-v3.2,0.3571428571428571
30,1151,136.52010846138,3979,5130,0.00181128,,0.95,deepseek/deepseek-v3.2,0.1666666666666666
31,2047,246.9874448776245,7465,9512,0.003536643,,0.95,deepseek/deepseek-v3.2,0.0909090909090909
32,980,276.20699405670166,3410,4390,0.001509,,0.95,deepseek/deepseek-v3.2,0.125
33,1107,102.15888023376463,2938,4045,0.001472983,,0.95,deepseek/deepseek-v3.2,0.0
34,2654,256.0724205970764,7690,10344,0.00361224,,0.95,deepseek/deepseek-v3.2,0.0
35,3103,148.33564066886902,4283,7386,0.00239272,,0.95,deepseek/deepseek-v3.2,0.1282051282051282
36,1805,187.40251111984253,5518,7323,0.00252454,,0.95,deepseek/deepseek-v3.2,0.1176470588235294
37,2429,173.96185326576233,5036,7465,0.00254522,,0.95,deepseek/deepseek-v3.2,0.1666666666666666
38,2512,269.0301821231842,10602,13114,0.00513108,,0.95,deepseek/deepseek-v3.2,0.074074074074074
39,2093,143.28057551383972,4227,6320,0.002253817,,0.95,deepseek/deepseek-v3.2,0.2307692307692307
40,2944,244.8713357448578,7377,10321,0.0035271,,0.95,deepseek/deepseek-v3.2,0.0
41,2119,144.86195611953735,5571,7690,0.00291195,,0.95,deepseek/deepseek-v3.2,0.0
42,1834,2.0969314575195312,47,1881,0.0004947,,0.95,deepseek/deepseek-v3.2,0.1379310344827586
43,1680,199.6601130962372,6023,7703,0.00281808,,0.95,deepseek/deepseek-v3.2,0.0
44,2182,103.0731966495514,3760,5942,0.00216834,,0.95,deepseek/deepseek-v3.2,0.1
45,2712,251.1428709030152,7755,10467,0.00394614,,0.95,deepseek/deepseek-v3.2,0.0
46,2926,158.86148738861084,4390,7316,0.002543094,,0.95,deepseek/deepseek-v3.2,0.1052631578947368
47,2534,799.6506750583649,10436,12970,0.00540572,,0.95,deepseek/deepseek-v3.2,0.0625
48,2345,299.5228877067566,9012,11357,0.00399266,,0.95,deepseek/deepseek-v3.2,0.05
49,1956,212.93673467636108,6153,8109,0.0102075,,0.95,deepseek/deepseek-v3.2,0.1333333333333333
50,2600,124.16850543022156,3583,6183,0.00203754,,0.95,deepseek/deepseek-v3.2,0.024390243902439
51,2952,193.6671416759491,5821,8773,0.0029795,,0.95,deepseek/deepseek-v3.2,0.1111111111111111
52,3360,135.98046708106995,3926,7286,0.00232388,,0.95,deepseek/deepseek-v3.2,0.0
53,2390,161.70906949043274,4717,7107,0.00237226,,0.95,deepseek/deepseek-v3.2,0.0571428571428571
54,2523,245.1337752342224,7394,9917,0.0034241,,0.95,deepseek/deepseek-v3.2,0.1333333333333333
55,2062,142.87308406829834,4208,6270,0.00209356,,0.95,deepseek/deepseek-v3.2,0.1891891891891892
56,2302,150.96524786949158,4417,6719,0.00223538,,0.95,deepseek/deepseek-v3.2,0.0975609756097561
57,2310,211.8227753639221,6352,8662,0.00297276,,0.95,deepseek/deepseek-v3.2,0.0
58,2320,406.8511793613434,12040,14360,0.0051368,,0.95,deepseek/deepseek-v3.2,0.0
59,2299,165.21345806121826,4953,7252,0.00243828,,0.95,deepseek/deepseek-v3.2,0.1153846153846153
60,2892,191.01990032196045,5802,8694,0.00295668,,0.95,deepseek/deepseek-v3.2,0.16
61,1979,274.4342751502991,8090,10069,0.00358874,,0.95,deepseek/deepseek-v3.2,0.08
62,3962,318.4196298122406,9326,13288,0.0045324,,0.95,deepseek/deepseek-v3.2,0.1818181818181818
63,2991,283.1613516807556,8356,11347,0.00391134,,0.95,deepseek/deepseek-v3.2,0.0
64,2091,136.59254670143127,3893,5984,0.002023,,0.95,deepseek/deepseek-v3.2,0.1063829787234042
65,2058,213.3196427822113,6306,8364,0.00288976,,0.95,deepseek/deepseek-v3.2,0.0
66,1477,198.0958607196808,5734,7211,0.00256294,,0.95,deepseek/deepseek-v3.2,0.0
67,2044,155.6749234199524,4422,6466,0.0022118,,0.95,deepseek/deepseek-v3.2,0.0
68,2656,554.4771339893341,5655,8311,0.00279786,,0.95,deepseek/deepseek-v3.2,0.0
69,2541,246.74043536186213,7481,10022,0.00382809,,0.95,deepseek/deepseek-v3.2,0.0
70,2168,165.38410067558289,4820,6988,0.00239528,,0.95,deepseek/deepseek-v3.2,0.1621621621621621
71,2160,149.32893991470337,4299,6459,0.00215362,,0.95,deepseek/deepseek-v3.2,0.12
72,3236,210.2889790534973,6124,9360,0.00312688,,0.95,deepseek/deepseek-v3.2,0.0
73,2164,182.0877935886383,5265,7429,0.00252174,,0.95,deepseek/deepseek-v3.2,0.0
74,2430,201.19981908798212,5722,8152,0.00276456,,0.95,deepseek/deepseek-v3.2,0.0
75,2052,127.88542604446413,3607,5659,0.001994788,,0.95,deepseek/deepseek-v3.2,0.0
76,2667,0.7949304580688477,47,2714,0.00071128,,0.95,deepseek/deepseek-v3.2,0.1875
77,2707,287.6113727092743,8336,11043,0.0038299,,0.95,deepseek/deepseek-v3.2,0.1428571428571428
78,3864,300.37355947494507,8836,12700,0.00436232,,0.95,deepseek/deepseek-v3.2,0.25
79,2703,293.20476031303406,8369,11072,0.003883,,0.95,deepseek/deepseek-v3.2,0.25
80,2622,162.30941104888916,4627,7249,0.00243998,,0.95,deepseek/deepseek-v3.2,0.1875
0,1942,39.56665635108948,1293,3235,0.001557312,,,deepseek/deepseek-chat-v3-0324,0.1818181818181818
1,1491,42.0092511177063,1334,2825,0.001484456,,,deepseek/deepseek-chat-v3-0324,0.16
2,2296,58.1983950138092,1620,3916,0.00177599,,,deepseek/deepseek-chat-v3-0324,0.25
3,2865,49.14201140403748,1537,4402,0.00249499,,,deepseek/deepseek-chat-v3-0324,0.2916666666666667
4,1377,60.211660861968994,1238,2615,0.00158225,,,deepseek/deepseek-chat-v3-0324,0.0344827586206896
5,2330,97.54526710510254,1743,4073,0.00178731,,,deepseek/deepseek-chat-v3-0324,0.2758620689655172
6,2094,41.39796900749207,1309,3403,0.00203146,,,deepseek/deepseek-chat-v3-0324,0.1463414634146341
7,1837,75.71267485618591,1331,3168,0.00137147,,,deepseek/deepseek-chat-v3-0324,1.0
8,2496,46.42385697364807,1351,3847,0.00162964,,,deepseek/deepseek-chat-v3-0324,0.1304347826086956
9,3167,79.18589735031128,1439,4606,0.00172063,,,deepseek/deepseek-chat-v3-0324,0.2307692307692307
10,1731,57.43680095672608,1592,3323,0.00162922,,,deepseek/deepseek-chat-v3-0324,0.2
11,1785,85.93453621864319,1582,3367,0.00157098,,,deepseek/deepseek-chat-v3-0324,0.1136363636363636
12,1575,44.993934631347656,1483,3058,0.00164524,,,deepseek/deepseek-chat-v3-0324,0.1
13,1332,52.919564723968506,1738,3070,0.0023062,,,deepseek/deepseek-chat-v3-0324,0.173076923076923
14,2154,49.262726068496704,1643,3797,0.001911104,,,deepseek/deepseek-chat-v3-0324,0.16
15,2582,69.35852003097534,1245,3827,0.00147089,,,deepseek/deepseek-chat-v3-0324,0.15625
16,2120,44.63576936721802,1567,3687,0.00232744,,,deepseek/deepseek-chat-v3-0324,0.5454545454545454
17,2185,49.53187274932861,1560,3745,0.00233715,,,deepseek/deepseek-chat-v3-0324,0.125
18,1860,85.79700016975403,1760,3620,0.002225,,,deepseek/deepseek-chat-v3-0324,0.048780487804878
19,2846,73.00699353218079,1248,4094,0.00150936,,,deepseek/deepseek-chat-v3-0324,0.2608695652173913
20,2534,56.91371774673462,1605,4139,0.0018412,,,deepseek/deepseek-chat-v3-0324,0.1333333333333333
21,2784,47.21428728103638,1545,4329,0.00248208,,,deepseek/deepseek-chat-v3-0324,0.28
22,1572,49.19935655593872,1582,3154,0.001731712,,,deepseek/deepseek-chat-v3-0324,0.0714285714285714
23,2625,67.63301301002502,1873,4498,0.00205077,,,deepseek/deepseek-chat-v3-0324,0.1578947368421052
24,1438,46.279703855514526,1344,2782,0.00136643,,,deepseek/deepseek-chat-v3-0324,0.1081081081081081
25,2329,60.57450342178345,1672,4001,0.00182485,,,deepseek/deepseek-chat-v3-0324,0.1538461538461538
26,2788,46.54220366477966,1588,4376,0.00253132,,,deepseek/deepseek-chat-v3-0324,0.1777777777777777
27,2424,47.34562420845032,1375,3799,0.00160815,,,deepseek/deepseek-chat-v3-0324,0.225
28,911,38.71259379386902,1096,2007,0.00105209,,,deepseek/deepseek-chat-v3-0324,0.1428571428571428
29,1555,58.19817900657654,1256,2811,0.00164475,,,deepseek/deepseek-chat-v3-0324,0.2857142857142857
30,1150,43.97144174575806,1529,2679,0.00202298,,,deepseek/deepseek-chat-v3-0324,0.1578947368421052
31,2046,40.36224269866944,1324,3370,0.001607056,,,deepseek/deepseek-chat-v3-0324,0.1818181818181818
32,979,29.482072591781616,961,1940,0.001057144,,,deepseek/deepseek-chat-v3-0324,0.1875
33,1106,25.28368663787841,593,1699,0.00069259,,,deepseek/deepseek-chat-v3-0324,0.15625
34,2653,61.80699515342712,1095,3748,0.00135295,,,deepseek/deepseek-chat-v3-0324,0.0
35,3102,65.76839208602905,1191,4293,0.00151667,,,deepseek/deepseek-chat-v3-0324,0.1818181818181818
36,1804,59.27395844459534,1671,3475,0.0017334,,,deepseek/deepseek-chat-v3-0324,0.1538461538461538
37,2428,44.523193359375,1522,3950,0.0023602,,,deepseek/deepseek-chat-v3-0324,0.1428571428571428
38,2511,49.05720520019531,1427,3938,0.00169374,,,deepseek/deepseek-chat-v3-0324,0.0967741935483871
39,2092,62.66996645927429,1498,3590,0.00163351,,,deepseek/deepseek-chat-v3-0324,0.2142857142857142
40,2943,56.37445044517517,1542,4485,0.00185593,,,deepseek/deepseek-chat-v3-0324,0.1818181818181818
41,2118,54.70677471160889,1511,3629,0.00164963,,,deepseek/deepseek-chat-v3-0324,0.3
42,1833,59.33816576004028,1613,3446,0.00166853,,,deepseek/deepseek-chat-v3-0324,0.15625
43,1679,7.133142948150635,173,1852,0.00048265,,,deepseek/deepseek-chat-v3-0324,0.1911764705882352
44,2181,53.09438943862915,1441,3622,0.00160749,,,deepseek/deepseek-chat-v3-0324,0.2
45,2711,60.01111340522766,1596,4307,0.00184809,,,deepseek/deepseek-chat-v3-0324,0.125
46,2926,32.148491621017456,1201,4127,0.001688896,,,deepseek/deepseek-chat-v3-0324,0.2307692307692307
47,2534,37.90507078170776,1403,3937,0.001781984,,,deepseek/deepseek-chat-v3-0324,0.275
48,2345,31.254271507263184,1110,3455,0.00148332,,,deepseek/deepseek-chat-v3-0324,0.35
49,1955,31.073768615722656,1118,3073,0.00140612,,,deepseek/deepseek-chat-v3-0324,0.3055555555555556
50,2600,33.13888931274414,1299,3899,0.00170472,,,deepseek/deepseek-chat-v3-0324,0.2444444444444444
51,2951,45.86754035949707,1211,4162,0.00159282,,,deepseek/deepseek-chat-v3-0324,0.2222222222222222
52,3359,14.184076070785522,324,3683,0.00097305,,,deepseek/deepseek-chat-v3-0324,0.25
53,2389,61.74183177947998,1619,4008,0.00179565,,,deepseek/deepseek-chat-v3-0324,0.2647058823529412
54,2522,69.13251280784607,1854,4376,0.00201291,,,deepseek/deepseek-chat-v3-0324,0.1875
55,2061,68.51019740104675,1771,3832,0.00184509,,,deepseek/deepseek-chat-v3-0324,0.1282051282051282
56,2301,50.58878540992737,1326,3627,0.00154182,,,deepseek/deepseek-chat-v3-0324,0.125
57,2309,10.221269369125366,234,2543,0.00067005,,,deepseek/deepseek-chat-v3-0324,0.0
58,2319,11.914633750915527,275,2594,0.00070505,,,deepseek/deepseek-chat-v3-0324,0.2
59,2298,58.98783087730408,1582,3880,0.00174603,,,deepseek/deepseek-chat-v3-0324,0.037037037037037
60,2891,57.725656032562256,1550,4441,0.00185082,,,deepseek/deepseek-chat-v3-0324,0.25
61,1978,64.8273344039917,1717,3695,0.00178356,,,deepseek/deepseek-chat-v3-0324,0.09375
62,3961,65.15441155433655,1819,5780,0.00230142,,,deepseek/deepseek-chat-v3-0324,0.2
63,2990,32.921082973480225,844,3834,0.0013078,,,deepseek/deepseek-chat-v3-0324,0.0833333333333333
64,2090,22.802753448486328,554,2644,0.00087787,,,deepseek/deepseek-chat-v3-0324,0.2391304347826087
65,2057,6.36298131942749,126,2183,0.00052814,,,deepseek/deepseek-chat-v3-0324,0.1818181818181818
66,1476,58.56042194366455,1580,3056,0.00156345,,,deepseek/deepseek-chat-v3-0324,0.1578947368421052
67,2043,11.648898124694824,204,2247,0.00058746,,,deepseek/deepseek-chat-v3-0324,0.2631578947368421
68,2655,42.76342296600342,1157,3812,0.00148457,,,deepseek/deepseek-chat-v3-0324,0.125
69,2540,16.55286192893982,373,2913,0.00083193,,,deepseek/deepseek-chat-v3-0324,0.0
70,2167,47.39331412315369,1282,3449,0.00147707,,,deepseek/deepseek-chat-v3-0324,0.1860465116279069
71,2159,61.94822764396668,1739,3898,0.00184105,,,deepseek/deepseek-chat-v3-0324,0.1538461538461538
72,3235,1.710564136505127,19,3254,0.00070177,,,deepseek/deepseek-chat-v3-0324,0.2352941176470588
73,2163,86.4974479675293,1408,3571,0.00149596,,,deepseek/deepseek-chat-v3-0324,0.0
74,2429,12.376969575881958,226,2655,0.00069005,,,deepseek/deepseek-chat-v3-0324,0.0
75,2051,40.08638215065002,1093,3144,0.00130049,,,deepseek/deepseek-chat-v3-0324,0.1276595744680851
76,2666,52.0929741859436,1418,4084,0.00169551,,,deepseek/deepseek-chat-v3-0324,0.1428571428571428
77,2706,112.88466548919678,1674,4380,0.00180938,,,deepseek/deepseek-chat-v3-0324,0.2631578947368421
78,3863,52.83680057525635,1480,5343,0.00200873,,,deepseek/deepseek-chat-v3-0324,0.25
79,2702,78.98332667350769,1244,3946,0.00147748,,,deepseek/deepseek-chat-v3-0324,0.28
80,2621,44.56343603134155,1258,3879,0.00155782,,,deepseek/deepseek-chat-v3-0324,0.2857142857142857
0,1801,239.13349556922915,13040,14841,0.002547839,,,openai/gpt-oss-120b,0.2058823529411764
1,1404,105.6082067489624,9871,11275,0.0061332,,,openai/gpt-oss-120b,0.2
2,2141,164.52649903297424,13052,15193,0.00337005,,,openai/gpt-oss-120b,0.3157894736842105
3,2527,23.23083758354187,14981,17508,0.01458573,,,openai/gpt-oss-120b,0.3181818181818182
4,1286,131.56435585021973,10427,11713,0.00267105,,,openai/gpt-oss-120b,0.0434782608695652
5,2145,75.17253875732422,16384,18529,0.0084065,,,openai/gpt-oss-120b,0.2307692307692307
6,1916,86.15072345733643,16384,18300,0.0101178,,,openai/gpt-oss-120b,0.2619047619047619
7,1705,30.271143913269043,9572,11277,0.00359937,,,openai/gpt-oss-120b,0.0
8,2283,139.9668312072754,11305,13588,0.0029404,,,openai/gpt-oss-120b,0.1578947368421052
9,2907,79.07478904724121,9813,12720,0.006314466,,,openai/gpt-oss-120b,0.1818181818181818
10,1605,122.0545163154602,9723,11328,0.002511,,,openai/gpt-oss-120b,0.2222222222222222
11,1681,44.03075575828552,10499,12180,0.0054176,,,openai/gpt-oss-120b,0.15
12,1467,96.57524180412292,13116,14583,0.008031034,,,openai/gpt-oss-120b,0.1666666666666666
13,1255,245.3220057487488,13363,14618,0.002587915,,,openai/gpt-oss-120b,0.196078431372549
14,1945,246.40173625946045,13402,15347,0.002622235,,,openai/gpt-oss-120b,0.28
15,2331,22.94042658805847,14901,17232,0.01448229,,,openai/gpt-oss-120b,0.3333333333333333
16,1949,143.76592803001404,10445,12394,0.002060561,,,openai/gpt-oss-120b,0.4545454545454545
17,2009,303.16453433036804,16384,18393,0.003191311,,,openai/gpt-oss-120b,0.0
18,1704,129.75813102722168,13432,15136,0.00498888,,,openai/gpt-oss-120b,0.0909090909090909
19,2642,121.43564796447754,9883,12525,0.00260285,,,openai/gpt-oss-120b,0.2727272727272727
20,2321,118.76737451553343,14869,17190,0.00921107,,,openai/gpt-oss-120b,0.0666666666666666
21,2532,44.53906893730164,13922,16454,0.0052398,,,openai/gpt-oss-120b,0.2608695652173913
22,1497,47.7923309803009,13319,14816,0.00492957,,,openai/gpt-oss-120b,0.1111111111111111
23,2416,88.58452820777893,11299,13715,0.00741338,,,openai/gpt-oss-120b,0.0476190476190476
24,1354,123.4004008769989,12075,13429,0.00446886,,,openai/gpt-oss-120b,0.0833333333333333
25,2120,42.593172550201416,14004,16124,0.00523224,,,openai/gpt-oss-120b,0.0666666666666666
26,2567,160.35155940055847,15732,18299,0.00982425,,,openai/gpt-oss-120b,0.0851063829787234
27,2183,126.82802152633668,12643,14826,0.00474795,,,openai/gpt-oss-120b,0.1081081081081081
28,905,441.3585810661316,12378,13283,0.009374,,,openai/gpt-oss-120b,0.3333333333333333
