index,model,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,kb,top_k,pipeline,context_style,score_Judge (Qwen3.6-35B-A3B-FP8),score_Judge (DeepSeek-V4-Flash)
33,Qwen/Qwen3.6-35B-A3B-FP8,stop,3164,88.68950128555298,6738,9902,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
34,Qwen/Qwen3.6-35B-A3B-FP8,stop,4691,121.78463292121889,10356,15047,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.2
35,Qwen/Qwen3.6-35B-A3B-FP8,stop,4952,117.63158655166626,10002,14954,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.3
36,Qwen/Qwen3.6-35B-A3B-FP8,stop,3862,113.92150044441225,9633,13495,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
37,Qwen/Qwen3.6-35B-A3B-FP8,stop,4134,115.9248411655426,9903,14037,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
38,Qwen/Qwen3.6-35B-A3B-FP8,stop,4689,108.06892800331116,9281,13970,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
39,Qwen/Qwen3.6-35B-A3B-FP8,stop,4517,93.93717980384828,8182,12699,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.3
40,Qwen/Qwen3.6-35B-A3B-FP8,stop,4637,161.36210346221924,11594,16231,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.2
41,Qwen/Qwen3.6-35B-A3B-FP8,stop,4477,126.718585729599,9084,13561,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.3
42,Qwen/Qwen3.6-35B-A3B-FP8,stop,4177,118.84157609939577,8601,12778,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
43,Qwen/Qwen3.6-35B-A3B-FP8,stop,3575,168.36611485481262,12127,15702,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
44,Qwen/Qwen3.6-35B-A3B-FP8,stop,4110,119.90593075752258,8671,12781,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.4
45,Qwen/Qwen3.6-35B-A3B-FP8,stop,4579,127.22578072547913,9111,13690,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.2
46,Qwen/Qwen3.6-35B-A3B-FP8,stop,5139,136.1054403781891,9745,14884,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.2
47,Qwen/Qwen3.6-35B-A3B-FP8,stop,4558,124.93235445022584,8999,13557,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.2
48,Qwen/Qwen3.6-35B-A3B-FP8,stop,4473,135.5329327583313,9710,14183,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.4
49,Qwen/Qwen3.6-35B-A3B-FP8,stop,4400,122.46264815330504,8857,13257,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.3
50,Qwen/Qwen3.6-35B-A3B-FP8,stop,4307,129.41384196281433,9115,13422,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.3
51,Qwen/Qwen3.6-35B-A3B-FP8,stop,5424,133.39033579826355,9409,14833,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
52,Qwen/Qwen3.6-35B-A3B-FP8,stop,5110,140.4963893890381,10028,15138,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.1
53,Qwen/Qwen3.6-35B-A3B-FP8,stop,4607,111.15850853919984,7872,12479,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.3
54,Qwen/Qwen3.6-35B-A3B-FP8,stop,4249,140.62347555160522,10183,14432,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
55,Qwen/Qwen3.6-35B-A3B-FP8,stop,4039,122.25014090538023,8698,12737,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.3
56,Qwen/Qwen3.6-35B-A3B-FP8,stop,4259,139.03485488891602,10181,14440,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
57,Qwen/Qwen3.6-35B-A3B-FP8,stop,4180,130.26274061203003,9433,13613,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.1
58,Qwen/Qwen3.6-35B-A3B-FP8,stop,4766,139.23201775550842,10519,15285,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
59,Qwen/Qwen3.6-35B-A3B-FP8,stop,4283,117.34909582138062,8707,12990,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.2
60,Qwen/Qwen3.6-35B-A3B-FP8,stop,5221,136.4097068309784,9438,14659,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
61,Qwen/Qwen3.6-35B-A3B-FP8,stop,3861,119.36132764816284,8295,12156,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.2
62,Qwen/Qwen3.6-35B-A3B-FP8,stop,5402,151.52078223228455,10486,15888,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
63,Qwen/Qwen3.6-35B-A3B-FP8,stop,5794,132.01265382766724,9112,14906,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
64,Qwen/Qwen3.6-35B-A3B-FP8,stop,4064,125.1562135219574,8671,12735,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.3
65,Qwen/Qwen3.6-35B-A3B-FP8,stop,4283,121.2308156490326,8415,12698,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
66,Qwen/Qwen3.6-35B-A3B-FP8,stop,3296,127.58399701118468,8824,12120,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
67,Qwen/Qwen3.6-35B-A3B-FP8,stop,4319,125.20142722129822,8674,12993,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
68,Qwen/Qwen3.6-35B-A3B-FP8,stop,4822,128.44659852981567,8880,13702,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.3
69,Qwen/Qwen3.6-35B-A3B-FP8,stop,4261,125.75906491279602,8693,12954,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
70,Qwen/Qwen3.6-35B-A3B-FP8,stop,4348,133.83072018623352,9449,13797,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.2
71,Qwen/Qwen3.6-35B-A3B-FP8,stop,3961,138.54125547409058,9939,13900,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.2,0.1
72,Qwen/Qwen3.6-35B-A3B-FP8,stop,5170,126.53637337684631,8959,14129,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
73,Qwen/Qwen3.6-35B-A3B-FP8,stop,4173,134.56134009361267,9687,13860,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.3
74,Qwen/Qwen3.6-35B-A3B-FP8,stop,4636,147.9513692855835,11188,15824,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.3
75,Qwen/Qwen3.6-35B-A3B-FP8,stop,4339,122.91245460510254,8695,13034,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.2
76,Qwen/Qwen3.6-35B-A3B-FP8,stop,4607,126.91540575027466,9054,13661,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.3,0.3
77,Qwen/Qwen3.6-35B-A3B-FP8,stop,4447,125.0456964969635,8982,13429,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.3
78,Qwen/Qwen3.6-35B-A3B-FP8,stop,6216,121.61706113815308,8749,14965,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.5,0.3
79,Qwen/Qwen3.6-35B-A3B-FP8,stop,4632,106.69366192817688,7712,12344,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.6,0.2
80,Qwen/Qwen3.6-35B-A3B-FP8,stop,4354,79.18981337547302,8203,12557,,./my_knowledge_base_bayern_titled,10,ls_text,plain,0.4,0.2
