law_book,article,count,content
gg,12,130,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden. (2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht. (3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig."
vwgo,123,121,"(1) Auf Antrag kann das Gericht, auch schon vor Klageerhebung, eine einstweilige Anordnung in bezug auf den Streitgegenstand treffen, wenn die Gefahr besteht, daß durch eine Veränderung des bestehenden Zustands die Verwirklichung eines Rechts des Antragstellers vereitelt oder wesentlich erschwert werden könnte. Einstweilige Anordnungen sind auch zur Regelung eines vorläufigen Zustands in bezug auf ein streitiges Rechtsverhältnis zulässig, wenn diese Regelung, vor allem bei dauernden Rechtsverhältnissen, um wesentliche Nachteile abzuwenden oder drohende Gewalt zu verhindern oder aus anderen Gründen nötig erscheint. (2) Für den Erlaß einstweiliger Anordnungen ist das Gericht der Hauptsache zuständig. Dies ist das Gericht des ersten Rechtszugs und, wenn die Hauptsache im Berufungsverfahren anhängig ist, das Berufungsgericht. § 80 Abs. 8 ist entsprechend anzuwenden. (3) Für den Erlaß einstweiliger Anordnungen gelten §§ 920, 921, 923, 926, 928 bis 932, 938, 939, 941 und 945 der Zivilprozeßordnung entsprechend. (4) Das Gericht entscheidet durch Beschluß. (5) Die Vorschriften der Absätze 1 bis 3 gelten nicht für die Fälle der §§ 80 und 80a."
vwgo,78,112,"(1) Die Klage ist zu richten  1. gegen den Bund, das Land oder die Körperschaft, deren Behörde den angefochtenen Verwaltungsakt erlassen oder den beantragten Verwaltungsakt unterlassen hat; zur Bezeichnung des Beklagten genügt die Angabe der Behörde, 2. sofern das Landesrecht dies bestimmt, gegen die Behörde selbst, die den angefochtenen Verwaltungsakt erlassen oder den beantragten Verwaltungsakt unterlassen hat. (2) Wenn ein Widerspruchsbescheid erlassen ist, der erstmalig eine Beschwer enthält (§ 68 Abs. 1 Satz 2 Nr. 2), ist Behörde im Sinne des Absatzes 1 die Widerspruchsbehörde."
gg,5,109,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt. (2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre. (3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue zur Verfassung."
gg,20,100,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat. (2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt. (3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung sind an Gesetz und Recht gebunden. (4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum Widerstand, wenn andere Abhilfe nicht möglich ist."
bgb,839,96,"(1) Verletzt ein Beamter vorsätzlich oder fahrlässig die ihm einem Dritten gegenüber obliegende Amtspflicht, so hat er dem Dritten den daraus entstehenden Schaden zu ersetzen. Fällt dem Beamten nur Fahrlässigkeit zur Last, so kann er nur dann in Anspruch genommen werden, wenn der Verletzte nicht auf andere Weise Ersatz zu erlangen vermag. (2) Verletzt ein Beamter bei dem Urteil in einer Rechtssache seine Amtspflicht, so ist er für den daraus entstehenden Schaden nur dann verantwortlich, wenn die Pflichtverletzung in einer Straftat besteht. Auf eine pflichtwidrige Verweigerung oder Verzögerung der Ausübung des Amts findet diese Vorschrift keine Anwendung. (3) Die Ersatzpflicht tritt nicht ein, wenn der Verletzte vorsätzlich oder fahrlässig unterlassen hat, den Schaden durch Gebrauch eines Rechtsmittels abzuwenden."
vwgo,68,90,"(1) Vor Erhebung der Anfechtungsklage sind Rechtmäßigkeit und Zweckmäßigkeit des Verwaltungsakts in einem Vorverfahren nachzuprüfen. Einer solchen Nachprüfung bedarf es nicht, wenn ein Gesetz dies bestimmt oder wenn  1. der Verwaltungsakt von einer obersten Bundesbehörde oder von einer obersten Landesbehörde erlassen worden ist, außer wenn ein Gesetz die Nachprüfung vorschreibt, oder 2. der Abhilfebescheid oder der Widerspruchsbescheid erstmalig eine Beschwer enthält. (2) Für die Verpflichtungsklage gilt Absatz 1 entsprechend, wenn der Antrag auf Vornahme des Verwaltungsakts abgelehnt worden ist."
vwgo,74,88,"(1) Die Anfechtungsklage muß innerhalb eines Monats nach Zustellung des Widerspruchsbescheids erhoben werden. Ist nach § 68 ein Widerspruchsbescheid nicht erforderlich, so muß die Klage innerhalb eines Monats nach Bekanntgabe des Verwaltungsakts erhoben werden. (2) Für die Verpflichtungsklage gilt Absatz 1 entsprechend, wenn der Antrag auf Vornahme des Verwaltungsakts abgelehnt worden ist."
gg,3,83,"(1) Alle Menschen sind vor dem Gesetz gleich. (2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin. (3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt werden. Niemand darf wegen seiner Behinderung benachteiligt werden."
vwgo,43,79,"(1) Durch Klage kann die Feststellung des Bestehens oder Nichtbestehens eines Rechtsverhältnisses oder der Nichtigkeit eines Verwaltungsakts begehrt werden, wenn der Kläger ein berechtigtes Interesse an der baldigen Feststellung hat (Feststellungsklage). (2) Die Feststellung kann nicht begehrt werden, soweit der Kläger seine Rechte durch Gestaltungs- oder Leistungsklage verfolgen kann oder hätte verfolgen können. Dies gilt nicht, wenn die Feststellung der Nichtigkeit eines Verwaltungsakts begehrt wird."
vwgo,124a,78,"(1) Das Verwaltungsgericht lässt die Berufung in dem Urteil zu, wenn die Gründe des § 124 Abs. 2 Nr. 3 oder Nr. 4 vorliegen. Das Oberverwaltungsgericht ist an die Zulassung gebunden. Zu einer Nichtzulassung der Berufung ist das Verwaltungsgericht nicht befugt. (2) Die Berufung ist, wenn sie von dem Verwaltungsgericht zugelassen worden ist, innerhalb eines Monats nach Zustellung des vollständigen Urteils bei dem Verwaltungsgericht einzulegen. Die Berufung muss das angefochtene Urteil bezeichnen. (3) Die Berufung ist in den Fällen des Absatzes 2 innerhalb von zwei Monaten nach Zustellung des vollständigen Urteils zu begründen. Die Begründung ist, sofern sie nicht zugleich mit der Einlegung der Berufung erfolgt, bei dem Oberverwaltungsgericht einzureichen. Die Begründungsfrist kann auf einen vor ihrem Ablauf gestellten Antrag von dem Vorsitzenden des Senats verlängert werden. Die Begründung muss einen bestimmten Antrag enthalten sowie die im Einzelnen anzuführenden Gründe der Anfechtung (Berufungsgründe). Mangelt es an einem dieser Erfordernisse, so ist die Berufung unzulässig. (4) Wird die Berufung nicht in dem Urteil des Verwaltungsgerichts zugelassen, so ist die Zulassung innerhalb eines Monats nach Zustellung des vollständigen Urteils zu beantragen. Der Antrag ist bei dem Verwaltungsgericht zu stellen. Er muss das angefochtene Urteil bezeichnen. Innerhalb von zwei Monaten nach Zustellung des vollständigen Urteils sind die Gründe darzulegen, aus denen die Berufung zuzulassen ist. Die Begründung ist, soweit sie nicht bereits mit dem Antrag vorgelegt worden ist, bei dem Oberverwaltungsgericht einzureichen. Die Stellung des Antrags hemmt die Rechtskraft des Urteils. (5) Über den Antrag entscheidet das Oberverwaltungsgericht durch Beschluss. Die Berufung ist zuzulassen, wenn einer der Gründe des § 124 Abs. 2 dargelegt ist und vorliegt. Der Beschluss soll kurz begründet werden. Mit der Ablehnung des Antrags wird das Urteil rechtskräftig. Lässt das Oberverwaltungsgericht die Berufung zu, wird das Antragsverfahren als Berufungsverfahren fortgesetzt; der Einlegung einer Berufung bedarf es nicht. (6) Die Berufung ist in den Fällen des Absatzes 5 innerhalb eines Monats nach Zustellung des Beschlusses über die Zulassung der Berufung zu begründen. Die Begründung ist bei dem Oberverwaltungsgericht einzureichen. Absatz 3 Satz 3 bis 5 gilt entsprechend."
gg,8,76,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu versammeln. (2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes beschränkt werden."
gg,19,75,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das Grundrecht unter Angabe des Artikels nennen. (2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden. (3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese anwendbar sind. (4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen. Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2 Satz 2 bleibt unberührt."
baugb,29,74,"(1) Für Vorhaben, die die Errichtung, Änderung oder Nutzungsänderung von baulichen Anlagen zum Inhalt haben, und für Aufschüttungen und Abgrabungen größeren Umfangs sowie für Ausschachtungen, Ablagerungen einschließlich Lagerstätten gelten die §§ 30 bis 37. (2) Die Vorschriften des Bauordnungsrechts und andere öffentlich-rechtliche Vorschriften bleiben unberührt."
vwgo,47,71,"(1) Das Oberverwaltungsgericht entscheidet im Rahmen seiner Gerichtsbarkeit auf Antrag über die Gültigkeit  1. von Satzungen, die nach den Vorschriften des Baugesetzbuchs erlassen worden sind, sowie von Rechtsverordnungen auf Grund des § 246 Abs. 2 des Baugesetzbuchs 2. von anderen im Rang unter dem Landesgesetz stehenden Rechtsvorschriften, sofern das Landesrecht dies bestimmt. (2) Den Antrag kann jede natürliche oder juristische Person, die geltend macht, durch die Rechtsvorschrift oder deren Anwendung in ihren Rechten verletzt zu sein oder in absehbarer Zeit verletzt zu werden, sowie jede Behörde innerhalb eines Jahres nach Bekanntmachung der Rechtsvorschrift stellen. Er ist gegen die Körperschaft, Anstalt oder Stiftung zu richten, welche die Rechtsvorschrift erlassen hat. Das Oberverwaltungsgericht kann dem Land und anderen juristischen Personen des öffentlichen Rechts, deren Zuständigkeit durch die Rechtsvorschrift berührt wird, Gelegenheit zur Äußerung binnen einer zu bestimmenden Frist geben. § 65 Abs. 1 und 4 und § 66 sind entsprechend anzuwenden. (2a) (weggefallen) (3) Das Oberverwaltungsgericht prüft die Vereinbarkeit der Rechtsvorschrift mit Landesrecht nicht, soweit gesetzlich vorgesehen ist, daß die Rechtsvorschrift ausschließlich durch das Verfassungsgericht eines Landes nachprüfbar ist. (4) Ist ein Verfahren zur Überprüfung der Gültigkeit der Rechtsvorschrift bei einem Verfassungsgericht anhängig, so kann das Oberverwaltungsgericht anordnen, daß die Verhandlung bis zur Erledigung des Verfahrens vor dem Verfassungsgericht auszusetzen sei. (5) Das Oberverwaltungsgericht entscheidet durch Urteil oder, wenn es eine mündliche Verhandlung nicht für erforderlich hält, durch Beschluß. Kommt das Oberverwaltungsgericht zu der Überzeugung, daß die Rechtsvorschrift ungültig ist, so erklärt es sie für unwirksam; in diesem Fall ist die Entscheidung allgemein verbindlich und die Entscheidungsformel vom Antragsgegner ebenso zu veröffentlichen wie die Rechtsvorschrift bekanntzumachen wäre. Für die Wirkung der Entscheidung gilt § 183 entsprechend. (6) Das Gericht kann auf Antrag eine einstweilige Anordnung erlassen, wenn dies zur Abwehr schwerer Nachteile oder aus anderen wichtigen Gründen dringend geboten ist."
gg,34,70,"Verletzt jemand in Ausübung eines ihm anvertrauten öffentlichen Amtes die ihm einem Dritten gegenüber obliegende Amtspflicht, so trifft die Verantwortlichkeit grundsätzlich den Staat oder die Körperschaft, in deren Dienst er steht. Bei Vorsatz oder grober Fahrlässigkeit bleibt der Rückgriff vorbehalten. Für den Anspruch auf Schadensersatz und für den Rückgriff darf der ordentliche Rechtsweg nicht ausgeschlossen werden."
vwgo,88,60,"Das Gericht darf über das Klagebegehren nicht hinausgehen, ist aber an die Fassung der Anträge nicht gebunden."
vwgo,80a,59,"(1) Legt ein Dritter einen Rechtsbehelf gegen den an einen anderen gerichteten, diesen begünstigenden Verwaltungsakt ein, kann die Behörde  1. auf Antrag des Begünstigten nach § 80 Absatz 2 Satz 1 Nummer 4 die sofortige Vollziehung anordnen, 2. auf Antrag des Dritten nach § 80 Abs. 4 die Vollziehung aussetzen und einstweilige Maßnahmen zur Sicherung der Rechte des Dritten treffen. (2) Legt ein Betroffener gegen einen an ihn gerichteten belastenden Verwaltungsakt, der einen Dritten begünstigt, einen Rechtsbehelf ein, kann die Behörde auf Antrag des Dritten nach § 80 Absatz 2 Satz 1 Nummer 4 die sofortige Vollziehung anordnen. (3) Das Gericht kann auf Antrag Maßnahmen nach den Absätzen 1 und 2 ändern oder aufheben oder solche Maßnahmen treffen. § 80 Abs. 5 bis 8 gilt entsprechend."
vwgo,52,56,"Für die örtliche Zuständigkeit gilt folgendes:  1. In Streitigkeiten, die sich auf unbewegliches Vermögen oder ein ortsgebundenes Recht oder Rechtsverhältnis beziehen, ist nur das Verwaltungsgericht örtlich zuständig, in dessen Bezirk das Vermögen oder der Ort liegt. 2. Bei Anfechtungsklagen gegen den Verwaltungsakt einer Bundesbehörde oder einer bundesunmittelbaren Körperschaft, Anstalt oder Stiftung des öffentlichen Rechts ist das Verwaltungsgericht örtlich zuständig, in dessen Bezirk die Bundesbehörde, die Körperschaft, Anstalt oder Stiftung ihren Sitz hat, vorbehaltlich der Nummern 1 und 4. Dies gilt auch bei Verpflichtungsklagen in den Fällen des Satzes 1. In Streitigkeiten nach dem Asylgesetz ist jedoch das Verwaltungsgericht örtlich zuständig, in dessen Bezirk der Ausländer nach dem Asylgesetz seinen Aufenthalt zu nehmen hat; ist eine örtliche Zuständigkeit danach nicht gegeben, bestimmt sie sich nach Nummer 3. Soweit ein Land, in dem der Ausländer seinen Aufenthalt zu nehmen hat, von der Möglichkeit nach § 83 Absatz 3 des Asylgesetzes Gebrauch gemacht hat, ist das Verwaltungsgericht örtlich zuständig, das nach dem Landesrecht für Streitigkeiten nach dem Asylgesetz betreffend den Herkunftsstaat des Ausländers zuständig ist. Für Klagen gegen den Bund auf Gebieten, die in die Zuständigkeit der diplomatischen und konsularischen Auslandsvertretungen der Bundesrepublik Deutschland fallen, auf dem Gebiet der Visumangelegenheiten auch, wenn diese in die Zuständigkeit des Bundesamts für Auswärtige Angelegenheiten fallen, ist das Verwaltungsgericht örtlich zuständig, in dessen Bezirk die Bundesregierung ihren Sitz hat. 3. Bei allen anderen Anfechtungsklagen vorbehaltlich der Nummern 1 und 4 ist das Verwaltungsgericht örtlich zuständig, in dessen Bezirk der Verwaltungsakt erlassen wurde. Ist er von einer Behörde, deren Zuständigkeit sich auf mehrere Verwaltungsgerichtsbezirke erstreckt, oder von einer gemeinsamen Behörde mehrerer oder aller Länder erlassen, so ist das Verwaltungsgericht zuständig, in dessen Bezirk der Beschwerte seinen Sitz oder Wohnsitz hat. Fehlt ein solcher innerhalb des Zuständigkeitsbereichs der Behörde, so bestimmt sich die Zuständigkeit nach Nummer 5. Bei Anfechtungsklagen gegen Verwaltungsakte einer von den Ländern mit der Vergabe von Studienplätzen beauftragten Behörde ist jedoch das Verwaltungsgericht örtlich zuständig, in dessen Bezirk die Behörde ihren Sitz hat. Dies gilt auch bei Verpflichtungsklagen in den Fällen der Sätze 1, 2 und 4. 4. Für alle Klagen aus einem gegenwärtigen oder früheren Beamten-, Richter-, Wehrpflicht-, Wehrdienst- oder Zivildienstverhältnis und für Streitigkeiten, die sich auf die Entstehung eines solchen Verhältnisses beziehen, ist das Verwaltungsgericht örtlich zuständig, in dessen Bezirk der Kläger oder Beklagte seinen dienstlichen Wohnsitz oder in Ermangelung dessen seinen Wohnsitz hat. Hat der Kläger oder Beklagte keinen dienstlichen Wohnsitz oder keinen Wohnsitz innerhalb des Zuständigkeitsbereichs der Behörde, die den ursprünglichen Verwaltungsakt erlassen hat, so ist das Gericht örtlich zuständig, in dessen Bezirk diese Behörde ihren Sitz hat. Die Sätze 1 und 2 gelten für Klagen nach § 79 des Gesetzes zur Regelung der Rechtsverhältnisse der unter Artikel 131 des Grundgesetzes fallenden Personen entsprechend. 5. In allen anderen Fällen ist das Verwaltungsgericht örtlich zuständig, in dessen Bezirk der Beklagte seinen Sitz, Wohnsitz oder in Ermangelung dessen seinen Aufenthalt hat oder seinen letzten Wohnsitz oder Aufenthalt hatte."
baugb,1,55,"(1) Aufgabe der Bauleitplanung ist es, die bauliche und sonstige Nutzung der Grundstücke in der Gemeinde nach Maßgabe dieses Gesetzbuchs vorzubereiten und zu leiten. (2) Bauleitpläne sind der Flächennutzungsplan (vorbereitender Bauleitplan) und der Bebauungsplan (verbindlicher Bauleitplan). (3) Die Gemeinden haben die Bauleitpläne aufzustellen, sobald und soweit es für die städtebauliche Entwicklung und Ordnung erforderlich ist; die Aufstellung kann insbesondere bei der Ausweisung von Flächen für den Wohnungsbau in Betracht kommen. Auf die Aufstellung von Bauleitplänen und städtebaulichen Satzungen besteht kein Anspruch; ein Anspruch kann auch nicht durch Vertrag begründet werden. (4) Die Bauleitpläne sind den Zielen der Raumordnung anzupassen. (5) Die Bauleitpläne sollen eine nachhaltige städtebauliche Entwicklung, die die sozialen, wirtschaftlichen und umweltschützenden Anforderungen auch in Verantwortung gegenüber künftigen Generationen miteinander in Einklang bringt, und eine dem Wohl der Allgemeinheit dienende sozialgerechte Bodennutzung unter Berücksichtigung der Wohnbedürfnisse der Bevölkerung gewährleisten. Sie sollen dazu beitragen, eine menschenwürdige Umwelt zu sichern, die natürlichen Lebensgrundlagen zu schützen und zu entwickeln sowie den Klimaschutz und die Klimaanpassung, insbesondere auch in der Stadtentwicklung, zu fördern und zur Erfüllung der Klimaschutzziele des Bundes-Klimaschutzgesetzes die Wärme- und Energieversorgung von Gebäuden treibhausgasneutral zu gestalten sowie die städtebauliche Gestalt und das Orts- und Landschaftsbild baukulturell zu erhalten und zu entwickeln. Hierzu soll die städtebauliche Entwicklung vorrangig durch Maßnahmen der Innenentwicklung erfolgen. (6) Bei der Aufstellung der Bauleitpläne sind insbesondere zu berücksichtigen:  1. die allgemeinen Anforderungen an gesunde Wohn- und Arbeitsverhältnisse und die Sicherheit der Wohn- und Arbeitsbevölkerung, 2. die Wohnbedürfnisse der Bevölkerung, insbesondere auch von Familien mit mehreren Kindern, die Schaffung und Erhaltung sozial stabiler Bewohnerstrukturen, die Eigentumsbildung weiter Kreise der Bevölkerung und die Anforderungen kostensparenden Bauens sowie die Bevölkerungsentwicklung, 3. die sozialen und kulturellen Bedürfnisse der Bevölkerung, insbesondere die Bedürfnisse der Familien, der jungen, alten und behinderten Menschen, unterschiedliche Auswirkungen auf Frauen und Männer sowie die Belange des Bildungswesens und von Sport, Freizeit und Erholung, 4. die Erhaltung, Erneuerung, Fortentwicklung, Anpassung und der Umbau vorhandener Ortsteile sowie die Erhaltung und Entwicklung zentraler Versorgungsbereiche, 5. die Belange der Baukultur, des Denkmalschutzes und der Denkmalpflege, die erhaltenswerten Ortsteile, Straßen und Plätze von geschichtlicher, künstlerischer oder städtebaulicher Bedeutung und die Gestaltung des Orts- und Landschaftsbildes, 6. die von den Kirchen und Religionsgesellschaften des öffentlichen Rechts festgestellten Erfordernisse für Gottesdienst und Seelsorge, 7. die Belange des Umweltschutzes, einschließlich des Naturschutzes und der Landschaftspflege, insbesondere  a) die Auswirkungen auf Tiere, Pflanzen, Fläche, Boden, Wasser, Luft, Klima und das Wirkungsgefüge zwischen ihnen sowie die Landschaft und die biologische Vielfalt, b) die Erhaltungsziele und der Schutzzweck der Natura 2000-Gebiete im Sinne des Bundesnaturschutzgesetzes, c) umweltbezogene Auswirkungen auf den Menschen und seine Gesundheit sowie die Bevölkerung insgesamt, d) umweltbezogene Auswirkungen auf Kulturgüter und sonstige Sachgüter, e) die Vermeidung von Emissionen sowie der sachgerechte Umgang mit Abfällen und Abwässern, f) die Nutzung erneuerbarer Energien, insbesondere auch im Zusammenhang mit der Wärmeversorgung von Gebäuden, sowie die sparsame und effiziente Nutzung von Energie, g) die Darstellungen von Landschaftsplänen und sonstigen Plänen, insbesondere des Wasser-, des Abfall- und des Immissionsschutzrechts, sowie die Darstellungen in Wärmeplänen und die Entscheidungen über die Ausweisung als Gebiet zum Neu- oder Ausbau von Wärmenetzen oder als Wasserstoffnetzausbaugebiet gemäß § 26 des Wärmeplanungsgesetzes vom 20. Dezember 2023 (BGBl. 2023 I Nr. 394), h) die Erhaltung der bestmöglichen Luftqualität in Gebieten, in denen die durch Rechtsverordnung zur Erfüllung von Rechtsakten der Europäischen Union festgelegten Immissionsgrenzwerte nicht überschritten werden, i) die Wechselwirkungen zwischen den einzelnen Belangen des Umweltschutzes nach den Buchstaben a bis d, j) unbeschadet des § 50 Satz 1 des Bundes-Immissionsschutzgesetzes, die Auswirkungen, die aufgrund der Anfälligkeit der nach dem Bebauungsplan zulässigen Vorhaben für schwere Unfälle oder Katastrophen zu erwarten sind, auf die Belange nach den Buchstaben a bis d und i, 8. die Belange  a) der Wirtschaft, auch ihrer mittelständischen Struktur im Interesse einer verbrauchernahen Versorgung der Bevölkerung, einschließlich ihrer Bestands- und Entwicklungsinteressen, b) der Land- und Forstwirtschaft, c) der Erhaltung, Sicherung und Schaffung von Arbeitsplätzen, d) des Post- und Telekommunikationswesens, insbesondere des Mobilfunkausbaus, e) der Versorgung, insbesondere mit Energie und Wasser, einschließlich der Versorgungssicherheit, f) der Sicherung von Rohstoffvorkommen, 9. die Belange des Personen- und Güterverkehrs und der Mobilität der Bevölkerung unter besonderer Berücksichtigung einer auf Vermeidung und Verringerung von Verkehr ausgerichteten städtebaulichen Entwicklung, einschließlich  a) des Bestands- und Entwicklungsinteresses bei Verkehrsanlagen und b) der Belange des öffentlichen Personennahverkehrs, des Verkehrs mit elektrisch betriebenen Kraftfahrzeugen und des nicht motorisierten Verkehrs, 10. die Belange der Verteidigung und des Zivilschutzes sowie der zivilen Anschlussnutzung von Militärliegenschaften, 11. die Ergebnisse eines von der Gemeinde beschlossenen städtebaulichen Entwicklungskonzeptes oder einer von ihr beschlossenen sonstigen städtebaulichen Planung, 12. die Belange des Küsten- oder Hochwasserschutzes und der Hochwasservorsorge, insbesondere die Vermeidung und Verringerung von Hochwasserschäden, 13. die Belange von Flüchtlingen oder Asylbegehrenden und ihrer Unterbringung, 14. die ausreichende Versorgung mit Grün- und Freiflächen. (7) Bei der Aufstellung der Bauleitpläne sind die öffentlichen und privaten Belange gegeneinander und untereinander gerecht abzuwägen. (8) Die Vorschriften dieses Gesetzbuchs über die Aufstellung von Bauleitplänen gelten auch für ihre Änderung, Ergänzung und Aufhebung."
vwgo,124,55,"(1) Gegen Endurteile einschließlich der Teilurteile nach § 110 und gegen Zwischenurteile nach den §§ 109 und 111 steht den Beteiligten die Berufung zu, wenn sie von dem Verwaltungsgericht oder dem Oberverwaltungsgericht zugelassen wird. (2) Die Berufung ist nur zuzulassen,  1. wenn ernstliche Zweifel an der Richtigkeit des Urteils bestehen, 2. wenn die Rechtssache besondere tatsächliche oder rechtliche Schwierigkeiten aufweist, 3. wenn die Rechtssache grundsätzliche Bedeutung hat, 4. wenn das Urteil von einer Entscheidung des Oberverwaltungsgerichts, des Bundesverwaltungsgerichts, des Gemeinsamen Senats der obersten Gerichtshöfe des Bundes oder des Bundesverfassungsgerichts abweicht und auf dieser Abweichung beruht oder 5. wenn ein der Beurteilung des Berufungsgerichts unterliegender Verfahrensmangel geltend gemacht wird und vorliegt, auf dem die Entscheidung beruhen kann."
vwgo,81,52,(1) Die Klage ist bei dem Gericht schriftlich zu erheben. Bei dem Verwaltungsgericht kann sie auch zu Protokoll des Urkundsbeamten der Geschäftsstelle erhoben werden. § 129a Absatz 2 der Zivilprozessordnung gilt entsprechend. (2) Der Klage und allen Schriftsätzen sollen vorbehaltlich des § 55a Absatz 5 Satz 3 Abschriften für die übrigen Beteiligten beigefügt werden.
vwgo,114,47,"Soweit die Verwaltungsbehörde ermächtigt ist, nach ihrem Ermessen zu handeln, prüft das Gericht auch, ob der Verwaltungsakt oder die Ablehnung oder Unterlassung des Verwaltungsakts rechtswidrig ist, weil die gesetzlichen Grenzen des Ermessens überschritten sind oder von dem Ermessen in einer dem Zweck der Ermächtigung nicht entsprechenden Weise Gebrauch gemacht ist. Die Verwaltungsbehörde kann ihre Ermessenserwägungen hinsichtlich des Verwaltungsaktes auch noch im verwaltungsgerichtlichen Verfahren ergänzen."
baugb,36,47,"(1) Über die Zulässigkeit von Vorhaben nach § 31 Absatz 1 und 2, den §§ 33, 34 Absatz 1, 2 und 3a sowie § 35 wird im bauaufsichtlichen Verfahren von der Baugenehmigungsbehörde im Einvernehmen mit der Gemeinde entschieden. Das Einvernehmen der Gemeinde ist auch erforderlich, wenn in einem anderen Verfahren über die Zulässigkeit nach den in Satz 1 bezeichneten Vorschriften entschieden wird; dies gilt nicht für Vorhaben der in § 29 Absatz 1 bezeichneten Art, die der Bergaufsicht unterliegen. Richtet sich die Zulässigkeit von Vorhaben nach § 30 Absatz 1, stellen die Länder sicher, dass die Gemeinde rechtzeitig vor Ausführung des Vorhabens über Maßnahmen zur Sicherung der Bauleitplanung nach den §§ 14 und 15 entscheiden kann. In den Fällen des § 35 Absatz 2 und 4 kann die Landesregierung durch Rechtsverordnung allgemein oder für bestimmte Fälle festlegen, dass die Zustimmung der höheren Verwaltungsbehörde erforderlich ist. (2) Das Einvernehmen der Gemeinde und die Zustimmung der höheren Verwaltungsbehörde dürfen nur aus den sich aus § 31 Absatz 1 und 2, den §§ 33, 34 Absatz 1, 2 und 3a sowie aus § 35 ergebenden Gründen versagt werden. Das Einvernehmen der Gemeinde und die Zustimmung der höheren Verwaltungsbehörde gelten als erteilt, wenn sie nicht binnen zwei Monaten nach Eingang des Ersuchens der Genehmigungsbehörde verweigert werden; dem Ersuchen gegenüber der Gemeinde steht die Einreichung des Antrags bei der Gemeinde gleich, wenn sie nach Landesrecht vorgeschrieben ist. Die nach Landesrecht zuständige Behörde kann ein rechtswidrig versagtes Einvernehmen der Gemeinde ersetzen."
gg,4,46,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen Bekenntnisses sind unverletzlich. (2) Die ungestörte Religionsausübung wird gewährleistet. (3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt ein Bundesgesetz."
vwgo,45,44,"Das Verwaltungsgericht entscheidet im ersten Rechtszug über alle Streitigkeiten, für die der Verwaltungsrechtsweg offensteht."
