index,score,judging_cost,score_Judge (gpt-5-nano),score_Judge (Qwen3.6-35B-A3B-FP8),score_Judge (DeepSeek-V4-Flash),legal_ref_sim,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,model,temperature,top_p,score_Judge (qwen3.6-35b-a3b)
23,0.1,0.00423555,0.1,0.3,0.2,0.1538461538461538,stop,2630.0,111.4562840461731,9170.0,11800.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
24,0.2,0.00410975,0.3,0.4,0.2,0.1186440677966101,stop,1501.0,91.49348187446594,7522.0,9023.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
25,0.3,0.0038139,0.3,0.3,0.3,0.1,stop,2272.0,120.61196875572205,9942.0,12214.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
26,0.2,0.0049064,0.4,0.4,0.2,0.0694444444444444,stop,2824.0,122.22468614578248,10079.0,12903.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
27,0.2,0.00495175,0.3,0.2,0.2,0.0735294117647058,stop,2371.0,97.6026692390442,8033.0,10404.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
28,0.1,0.00419795,0.5,0.3,0.1,0.0625,stop,1036.0,97.00620412826538,8013.0,9049.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
29,0.2,0.0036883,0.4,0.5,0.2,0.5,stop,1647.0,93.3902313709259,7694.0,9341.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
30,0.2,0.00397115,0.4,0.5,0.2,0.1481481481481481,stop,1285.0,90.4938440322876,7557.0,8842.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
31,0.2,0.00419425,0.3,0.4,0.2,0.1272727272727272,stop,2020.0,90.65004253387453,7580.0,9600.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
32,0.2,0.00453355,0.5,0.4,0.2,0.0933333333333333,stop,1178.0,77.06607341766357,6462.0,7640.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
33,0.1,0.00437325,0.3,0.3,0.1,0.0909090909090909,stop,1272.0,104.82134008407591,8795.0,10067.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
34,0.1,0.0051609,0.4,0.3,0.1,0.0444444444444444,stop,2638.0,119.86659979820251,10030.0,12668.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
35,0.1,0.0038851,0.8,0.4,0.1,0.1166666666666666,stop,2909.0,131.93506789207458,11009.0,13918.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
36,0.1,0.0042997,0.6,0.4,0.1,0.0384615384615384,stop,1834.0,106.22865223884584,8894.0,10728.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
37,0.1,0.00518095,0.3,0.3,0.1,0.1195652173913043,stop,2448.0,115.64151215553284,9654.0,12102.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
38,0.1,0.0037405,0.3,0.4,0.1,0.0588235294117647,stop,2510.0,134.04598927497864,11270.0,13780.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
39,0.3,0.00381145,0.4,0.4,0.3,0.24,stop,2113.0,112.48439908027648,9391.0,11504.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
40,0.2,0.0043073,0.4,0.4,0.2,0.1395348837209302,stop,2945.0,120.29658842086792,10870.0,13815.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
41,0.2,0.0047538,0.4,0.3,0.2,0.1833333333333333,stop,2184.0,97.2760524749756,8421.0,10605.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
42,0.1,0.00431785,0.3,0.3,0.1,0.1304347826086956,stop,1887.0,86.9128828048706,7488.0,9375.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
43,0.1,0.00447915,0.5,0.3,0.1,0.0833333333333333,stop,1764.0,94.00473737716676,9006.0,10770.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
44,0.3,0.0041819,0.8,0.5,0.3,0.4482758620689655,stop,2133.0,78.9563775062561,7768.0,9901.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
45,0.1,0.00412415,0.3,0.4,0.1,0.0434782608695652,stop,2684.0,95.57574677467346,9774.0,12458.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
46,0.2,0.0042163,0.4,0.4,0.2,0.1428571428571428,stop,2872.0,71.5674078464508,7477.0,10349.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
47,0.1,0.00448065,0.2,0.3,0.1,0.125,stop,2603.0,86.57473611831665,9261.0,11864.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
48,0.2,0.0047374,0.3,0.4,0.2,0.16,stop,2373.0,85.11978459358215,9142.0,11515.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
49,0.1,0.00337,0.2,0.3,0.1,0.2692307692307692,stop,1999.0,64.85681772232056,7248.0,9247.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
50,0.2,0.00507945,0.4,0.4,0.2,0.140625,stop,2532.0,73.92640352249146,8303.0,10835.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
51,0.2,0.0044903,0.4,0.6,0.2,0.1384615384615384,stop,2816.0,62.31914401054382,6997.0,9813.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
52,0.1,0.00398155,0.3,0.3,0.1,0.14,stop,3280.0,92.2682728767395,9315.0,12595.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
53,0.2,0.00352175,0.3,0.4,0.2,0.0833333333333333,stop,2405.0,73.00058794021606,7396.0,9801.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
54,0.2,0.00443125,0.3,0.5,0.2,0.12,stop,2473.0,88.49452614784241,8643.0,11116.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
55,0.2,0.0046305,0.6,0.4,0.2,0.1666666666666666,stop,2094.0,123.27314281463624,11112.0,13206.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
56,0.1,0.0053148,0.3,0.2,0.1,0.1351351351351351,stop,2365.0,88.63428235054016,8033.0,10398.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
57,0.1,0.0042116,0.4,0.3,0.1,0.0909090909090909,stop,2307.0,88.8220899105072,7901.0,10208.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
58,0.0,0.0040019,0.0,0.4,0.2,0.0919540229885057,stop,2351.0,103.11274886131288,8926.0,11277.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
59,0.2,0.00446465,0.3,0.3,0.2,0.1525423728813559,stop,2320.0,92.23537564277648,8064.0,10384.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
60,0.2,0.00356545,0.5,0.4,0.2,0.0641025641025641,stop,2882.0,113.83580470085144,9613.0,12495.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
61,0.2,0.00442415,0.4,0.4,0.2,0.180327868852459,stop,2035.0,107.68168210983276,8800.0,10835.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
62,0.1,0.00468115,0.3,0.2,0.1,0.0793650793650793,stop,3806.0,115.78558588027954,9295.0,13101.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
63,0.2,0.00468205,0.3,0.3,0.2,0.1860465116279069,stop,2962.0,109.61136603355408,8783.0,11745.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
64,0.2,0.0032915,0.3,0.3,0.2,0.073170731707317,stop,2145.0,119.22985529899596,9551.0,11696.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
65,0.0,0.00471145,0.2,0.3,0.0,0.1159420289855072,stop,2087.0,84.90346360206604,6742.0,8829.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
66,0.0,0.00325825,0.1,0.2,0.0,0.125,stop,1576.0,114.24278140068054,9096.0,10672.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
67,0.3,0.00534615,0.6,0.4,0.3,0.2058823529411764,stop,2109.0,120.22012162208556,9533.0,11642.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
68,0.2,0.0039774,0.4,0.5,0.2,0.0533333333333333,stop,2598.0,119.28064513206482,9449.0,12047.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
69,0.2,0.00395565,0.3,0.3,0.2,0.1304347826086956,stop,2452.0,111.30363154411316,8826.0,11278.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
70,0.1,0.0049494,0.6,0.4,0.1,0.0649350649350649,stop,2171.0,88.14687132835388,7031.0,9202.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
71,0.1,0.0049587,0.1,0.3,0.2,0.0769230769230769,stop,2187.0,396.4996156692505,9132.0,11319.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
72,0.2,0.0041877,0.3,0.5,0.2,0.1914893617021276,stop,3184.0,114.43423795700072,9072.0,12256.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
73,0.1,0.0048488,0.1,0.7,0.4,0.1511627906976744,stop,2248.0,133.74154353141785,10627.0,12875.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
74,0.2,0.0052854,0.3,0.4,0.2,0.2,stop,2480.0,158.64832544326782,12773.0,15253.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
75,0.2,0.0051529,0.6,0.4,0.2,0.1195652173913043,stop,2107.0,99.97001767158508,7906.0,10013.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
76,0.3,0.00402015,0.6,0.5,0.3,0.2941176470588235,stop,2628.0,111.63244652748108,8866.0,11494.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
77,0.2,0.0041989,0.2,0.4,0.2,0.0897435897435897,stop,2657.0,141.44236135482788,11828.0,14485.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
78,0.2,0.00383585,0.2,0.3,0.2,0.2222222222222222,stop,3627.0,107.87090063095091,8690.0,12317.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
79,0.3,0.00447615,0.4,0.6,0.3,0.12,stop,2673.0,91.6937894821167,7317.0,9990.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
80,0.2,0.0043086,0.3,0.3,0.2,0.1694915254237288,stop,2539.0,99.91274547576904,8097.0,10636.0,0.0,Qwen/Qwen3.6-35B-A3B-FP8,,,
0,0.3,0.00446675,0.6,0.4,0.3,0.1016949152542373,stop,2198.0,372.92830061912537,6918.0,9116.0,0.01618024,deepseek/deepseek-r1-0528,,,
1,0.2,0.00353205,0.2,0.4,0.2,0.1463414634146341,stop,1747.0,98.43176054954527,2596.0,4343.0,0.0064453,deepseek/deepseek-r1-0528,,,
2,0.2,0.0042924,0.4,0.3,0.2,0.238095238095238,stop,2552.0,372.9020948410034,7001.0,9553.0,0.01653818,deepseek/deepseek-r1-0528,,,
3,0.3,0.00446485,0.8,0.4,0.3,0.1956521739130435,stop,3121.0,173.4857087135315,4988.0,8109.0,0.013184659,deepseek/deepseek-r1-0528,,,
4,0.1,0.00426235,0.4,0.4,0.1,0.056338028169014,stop,1633.0,260.35924434661865,7144.0,8777.0,0.017263627,deepseek/deepseek-r1-0528,,,
5,0.2,0.004384,0.3,0.3,0.2,0.1694915254237288,stop,2586.0,402.864223241806,7471.0,10057.0,0.01757978,deepseek/deepseek-r1-0528,,,
6,0.1,0.00512315,0.5,0.2,0.1,0.1690140845070422,stop,2350.0,303.80051732063293,8905.0,11255.0,0.02169868,deepseek/deepseek-r1-0528,,,
7,0.4,0.00438845,0.4,0.5,0.4,0.25,stop,2093.0,210.1070575714112,6060.0,8153.0,0.015048263,deepseek/deepseek-r1-0528,,,
8,0.3,0.0045664,0.8,0.4,0.3,0.1538461538461538,stop,2752.0,116.95687508583067,4063.0,6815.0,0.01085941,deepseek/deepseek-r1-0528,,,
9,0.2,0.00468605,0.7,0.3,0.2,0.1458333333333333,stop,3423.0,179.73245811462402,6737.0,10160.0,0.017355315,deepseek/deepseek-r1-0528,,,
10,0.3,0.0040904,0.3,0.3,0.3,0.2962962962962963,stop,1987.0,148.45501828193665,4001.0,5988.0,0.00950925,deepseek/deepseek-r1-0528,,,
11,0.3,0.003904,0.5,0.6,0.3,0.140625,stop,2041.0,174.52213096618652,4821.0,6862.0,0.01129925,deepseek/deepseek-r1-0528,,,
12,0.5,0.0038957,0.6,0.7,0.5,0.3,stop,1831.0,223.09981441497803,5593.0,7424.0,0.01285405,deepseek/deepseek-r1-0528,,,
13,0.3,0.0037071,0.3,0.3,0.3,0.1168831168831168,stop,1588.0,209.54284715652463,5301.0,6889.0,0.01210475,deepseek/deepseek-r1-0528,,,
14,0.2,0.0038259,0.4,0.4,0.2,0.109375,stop,2410.0,114.43200469017027,3156.0,5566.0,0.007904,deepseek/deepseek-r1-0528,,,
15,0.3,0.00494805,0.5,0.4,0.3,0.2,stop,2838.0,361.45618057250977,7727.0,10565.0,0.01794565,deepseek/deepseek-r1-0528,,,
16,0.3,0.0039723,0.5,0.4,0.3,0.2941176470588235,stop,2376.0,242.8950982093811,5533.0,7909.0,0.01299755,deepseek/deepseek-r1-0528,,,
17,0.3,0.0037627,0.3,0.4,0.3,0.2244897959183673,stop,2441.0,340.823698759079,6870.0,9311.0,0.0159046,deepseek/deepseek-r1-0528,,,
18,0.1,0.0035812,0.3,0.3,0.1,0.0704225352112676,stop,2116.0,267.6190207004547,5278.0,7394.0,0.0123193,deepseek/deepseek-r1-0528,,,
19,0.2,0.00471575,0.8,0.4,0.2,0.1836734693877551,stop,3102.0,457.54119324684143,9324.0,12426.0,0.0215112,deepseek/deepseek-r1-0528,,,
20,0.2,0.00367485,0.4,0.4,0.2,0.2142857142857142,stop,2790.0,356.0507581233978,6837.0,9627.0,0.01600815,deepseek/deepseek-r1-0528,,,
21,0.2,0.00351195,0.2,0.3,0.2,0.2456140350877192,stop,3040.0,282.11303091049194,5204.0,8244.0,0.0126222,deepseek/deepseek-r1-0528,,,
22,0.3,0.0046433,0.4,0.4,0.3,0.0958904109589041,stop,1828.0,347.0288562774658,6607.0,8435.0,0.01503265,deepseek/deepseek-r1-0528,,,
23,0.3,0.0046785,0.5,0.3,0.4,0.2264150943396226,stop,2881.0,333.5592746734619,6463.0,9344.0,0.01524955,deepseek/deepseek-r1-0528,,,
24,0.2,0.0037826,0.3,0.4,0.2,0.1964285714285714,stop,1694.0,213.9303393363953,3874.0,5568.0,0.0090897,deepseek/deepseek-r1-0528,,,
25,0.2,0.0038317,0.3,0.4,0.2,0.1515151515151515,stop,2585.0,261.4180145263672,5407.0,7992.0,0.01283115,deepseek/deepseek-r1-0528,,,
26,0.2,0.0049785,0.3,0.4,0.2,0.1,stop,3044.0,144.98920679092407,2795.0,5839.0,0.00744485,deepseek/deepseek-r1-0528,,,
27,0.1,0.00437235,0.2,0.3,0.1,0.1746031746031746,stop,2680.0,335.5093514919281,8213.0,10893.0,0.01898835,deepseek/deepseek-r1-0528,,,
28,0.2,0.00355085,0.3,0.3,0.2,0.1041666666666666,stop,1167.0,175.90620708465576,6597.0,7764.0,0.015747099,deepseek/deepseek-r1-0528,,,
29,0.3,0.0044878,0.5,0.3,0.4,0.4782608695652174,stop,1811.0,108.68372511863708,2696.0,4507.0,0.0066155,deepseek/deepseek-r1-0528,,,
30,0.3,0.0034993,0.5,0.4,0.3,0.1034482758620689,stop,1406.0,356.9725675582886,7348.0,8754.0,0.0162996,deepseek/deepseek-r1-0528,,,
31,0.2,0.004649,0.5,0.3,0.2,0.0943396226415094,stop,2302.0,170.9848837852478,4405.0,6707.0,0.01053535,deepseek/deepseek-r1-0528,,,
32,0.0,0.0037322,0.2,0.3,0.0,0.1285714285714285,stop,1235.0,192.76073622703552,4884.0,6119.0,0.0110317,deepseek/deepseek-r1-0528,,,
33,0.1,0.0043753,0.4,0.3,0.1,0.1379310344827586,stop,1362.0,164.83177542686462,4196.0,5558.0,0.009616,deepseek/deepseek-r1-0528,,,
34,0.3,0.00473935,0.5,0.4,0.3,0.0588235294117647,stop,2909.0,254.18982768058777,5996.0,8905.0,0.0142595,deepseek/deepseek-r1-0528,,,
35,0.3,0.00441475,0.6,0.4,0.3,0.1551724137931034,stop,3358.0,209.0196619033813,5094.0,8452.0,0.0125447,deepseek/deepseek-r1-0528,,,
36,0.3,0.00392775,0.4,0.4,0.3,0.0925925925925925,stop,2060.0,242.11931228637687,5771.0,7831.0,0.01335125,deepseek/deepseek-r1-0528,,,
37,0.2,0.00481305,0.4,0.4,0.2,0.1030927835051546,stop,2684.0,265.698459148407,6006.0,8690.0,0.0141685,deepseek/deepseek-r1-0528,,,
38,0.3,0.0038801,0.4,0.3,0.3,0.0689655172413793,stop,2767.0,228.8921895027161,5285.0,8052.0,0.01265985,deepseek/deepseek-r1-0528,,,
39,0.3,0.0041156,0.6,0.5,0.3,0.3461538461538461,stop,2348.0,276.0884654521942,6705.0,9053.0,0.01550335,deepseek/deepseek-r1-0528,,,
40,0.3,0.0040556,0.7,0.4,0.3,0.2235294117647059,stop,3199.0,248.1377968788147,5947.0,9146.0,0.01429915,deepseek/deepseek-r1-0528,,,
41,0.2,0.0046599,0.4,0.4,0.2,0.1896551724137931,stop,2374.0,227.2852966785431,5544.0,7918.0,0.0130202,deepseek/deepseek-r1-0528,,,
42,0.2,0.0047308,0.3,0.3,0.2,0.1194029850746268,stop,2089.0,213.96851181983948,5320.0,7409.0,0.0123961,deepseek/deepseek-r1-0528,,,
43,0.2,0.0042778,0.3,0.3,0.2,0.188235294117647,stop,1935.0,255.28837704658508,6858.0,8793.0,0.0156258,deepseek/deepseek-r1-0528,,,
44,0.3,0.0044317,0.3,0.6,0.3,0.4285714285714285,stop,2437.0,194.2353997230529,5323.0,7760.0,0.01257655,deepseek/deepseek-r1-0528,,,
45,0.4,0.00474145,0.6,0.4,0.4,0.0512820512820512,stop,2967.0,231.99873089790344,7147.0,10114.0,0.01676315,deepseek/deepseek-r1-0528,,,
46,0.3,0.0050432,0.4,0.5,0.3,0.1333333333333333,stop,3181.0,172.8693482875824,4916.0,8097.0,0.0120735,deepseek/deepseek-r1-0528,,,
47,0.1,0.00464145,0.3,0.4,0.1,0.1549295774647887,stop,2789.0,225.0587587356568,6966.0,9755.0,0.016285,deepseek/deepseek-r1-0528,,,
48,0.2,0.00463375,0.3,0.3,0.2,0.1041666666666666,stop,2600.0,254.5992410182953,7081.0,9681.0,0.01643775,deepseek/deepseek-r1-0528,,,
49,0.2,0.00512245,0.5,0.6,0.2,0.2978723404255319,stop,2210.0,74.04747605323792,2422.0,4632.0,0.0062259,deepseek/deepseek-r1-0528,,,
50,0.3,0.00525755,,0.4,0.3,0.1969696969696969,stop,2855.0,224.857474565506,6489.0,9344.0,0.01529245,deepseek/deepseek-r1-0528,,,
51,0.3,0.0049348,0.3,0.5,0.4,0.1746031746031746,stop,3207.0,156.88298892974854,4547.0,7754.0,0.01129315,deepseek/deepseek-r1-0528,,,
52,0.2,0.00468725,0.5,0.4,0.2,0.119047619047619,stop,3615.0,149.06833052635193,5266.0,8881.0,0.013043,deepseek/deepseek-r1-0528,,,
53,0.2,0.00350445,0.6,0.3,0.2,0.144927536231884,stop,2645.0,173.6940417289734,6194.0,8839.0,0.0145532,deepseek/deepseek-r1-0528,,,
54,0.1,0.00513075,0.3,0.3,0.1,0.1770833333333333,stop,2778.0,224.8062813282013,7711.0,10489.0,0.01788125,deepseek/deepseek-r1-0528,,,
55,0.3,0.0048893,0.6,0.3,0.35,0.203125,stop,2317.0,187.8927745819092,5282.0,7599.0,0.0124284,deepseek/deepseek-r1-0528,,,
56,0.2,0.0044972,0.2,0.3,0.2,0.1538461538461538,stop,2557.0,142.93985986709595,5147.0,7704.0,0.01225815,deepseek/deepseek-r1-0528,,,
57,0.3,0.0057569,0.6,0.4,0.3,0.1153846153846153,stop,2565.0,230.2187957763672,7418.0,9983.0,0.0171448,deepseek/deepseek-r1-0528,,,
58,0.2,0.00461415,0.4,0.5,0.2,0.0987654320987654,stop,2575.0,225.61398077011108,7140.0,9715.0,0.0165521,deepseek/deepseek-r1-0528,,,
59,0.3,0.0040854,0.5,0.4,0.3,0.175438596491228,stop,2554.0,148.7231001853943,4253.0,6807.0,0.01033455,deepseek/deepseek-r1-0528,,,
60,0.2,0.0047317,0.4,0.4,0.2,0.0945945945945946,stop,3147.0,224.15229392051697,6263.0,9410.0,0.01495255,deepseek/deepseek-r1-0528,,,
61,0.3,0.0044579,0.3,0.4,0.3,0.2068965517241379,stop,2234.0,118.25623607635498,3208.0,5442.0,0.0079278,deepseek/deepseek-r1-0528,,,
62,0.1,0.00494885,0.3,0.4,0.1,0.0476190476190476,stop,4217.0,358.3840560913086,10073.0,14290.0,0.02367905,deepseek/deepseek-r1-0528,,,
63,0.1,0.00426945,0.4,0.3,0.1,0.2647058823529412,stop,3246.0,280.59355759620667,8014.0,11260.0,0.0187667,deepseek/deepseek-r1-0528,,,
64,0.2,0.00373575,0.3,0.4,0.2,0.1098901098901098,stop,2346.0,184.73424744606007,5345.0,7691.0,0.01257835,deepseek/deepseek-r1-0528,,,
65,0.3,0.0044789,0.4,0.5,0.3,0.2205882352941176,stop,2313.0,227.77723574638367,6324.0,8637.0,0.0146667,deepseek/deepseek-r1-0528,,,
66,0.0,0.00331655,0.0,0.3,0.2,0.0,stop,1732.0,166.92785453796387,4574.0,6306.0,0.0106137,deepseek/deepseek-r1-0528,,,
67,0.4,0.0056921,0.6,0.6,0.4,0.2058823529411764,stop,2299.0,337.835755109787,8366.0,10665.0,0.01905,deepseek/deepseek-r1-0528,,,
68,0.1,0.0040117,0.7,0.4,0.1,0.0875,stop,2911.0,137.02085542678833,3979.0,6890.0,0.00992395,deepseek/deepseek-r1-0528,,,
69,0.3,0.00462075,0.4,0.3,0.3,0.0697674418604651,stop,2796.0,217.620121717453,6173.0,8969.0,0.01458355,deepseek/deepseek-r1-0528,,,
70,0.4,0.00501865,0.6,0.4,0.4,0.1466666666666666,stop,2423.0,230.1664698123932,6503.0,8926.0,0.01510655,deepseek/deepseek-r1-0528,,,
71,0.2,0.0042766,0.2,0.4,0.2,0.0727272727272727,stop,2415.0,226.922601222992,6123.0,8538.0,0.01428555,deepseek/deepseek-r1-0528,,,
72,0.2,0.0036497,0.3,0.4,0.2,0.2631578947368421,stop,3491.0,123.38528847694396,3308.0,6799.0,0.0087713,deepseek/deepseek-r1-0528,,,
73,0.6,0.00464805,0.8,0.6,0.6,0.2439024390243902,stop,2419.0,297.374626159668,7310.0,9729.0,0.0168396,deepseek/deepseek-r1-0528,,,
74,0.2,0.00454775,0.6,0.4,0.2,0.2280701754385964,stop,2685.0,336.414785861969,9999.0,12684.0,0.02275395,deepseek/deepseek-r1-0528,,,
75,0.1,0.0036747,0.3,0.4,0.1,0.1046511627906976,stop,2307.0,250.037704706192,6025.0,8332.0,0.01402085,deepseek/deepseek-r1-0528,,,
76,0.4,0.0046735,0.8,0.5,0.4,0.3125,stop,2922.0,235.459018945694,6894.0,9816.0,0.0161967,deepseek/deepseek-r1-0528,,,
77,0.3,0.00444065,0.4,0.6,0.3,0.0921052631578947,stop,2962.0,195.84193754196167,5730.0,8692.0,0.0137141,deepseek/deepseek-r1-0528,,,
