index,score,judging_cost,score_Judge (gpt-5-nano),score_Judge (Qwen3.6-35B-A3B-FP8),score_Judge (DeepSeek-V4-Flash),legal_ref_sim,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,temperature,top_p,model,score_Judge (qwen3.6-35b-a3b)
17,0.2,,0.2,0.5,0.25,0.16,stop,5339.0,207.60878586769104,5764.0,11103.0,0.0149757,,,deepseek/deepseek-r1-0528,
18,0.2,,0.4,0.3,0.2,0.072463768115942,stop,11190.0,212.49537920951843,5943.0,17133.0,0.01828605,,,deepseek/deepseek-r1-0528,
19,0.3,,0.7,0.5,0.3,0.1627906976744186,stop,4644.0,178.42626643180847,5114.0,9758.0,0.0132307,,,deepseek/deepseek-r1-0528,
20,0.2,,0.3,0.4,0.2,0.1739130434782608,stop,3271.0,197.92385816574097,5628.0,8899.0,0.0136493,,,deepseek/deepseek-r1-0528,
21,0.2,,0.6,0.5,0.2,0.2363636363636363,stop,11248.0,200.1885352134705,5661.0,16909.0,0.01770875,,,deepseek/deepseek-r1-0528,
22,0.1,,0.3,0.4,0.1,0.1,stop,2767.0,187.3241341114044,5134.0,7901.0,0.0123352,,,deepseek/deepseek-r1-0528,
23,0.0,,0.0,0.4,0.1,0.1836734693877551,stop,4490.0,232.022497177124,6431.0,10921.0,0.01598525,,,deepseek/deepseek-r1-0528,
24,0.3,,0.3,0.3,0.3,0.1607142857142857,stop,9922.0,150.3680911064148,4043.0,13965.0,0.01356705,,,deepseek/deepseek-r1-0528,
25,0.3,,0.8,0.4,0.3,0.1538461538461538,stop,12458.0,123.62519073486328,3423.0,15881.0,0.01220605,,,deepseek/deepseek-r1-0528,
26,0.2,,0.3,0.4,0.2,0.1014492753623188,stop,10935.0,279.7339389324188,6729.0,17664.0,0.01984845,,,deepseek/deepseek-r1-0528,
27,0.2,,0.2,0.3,0.2,0.15625,stop,8599.0,417.30006217956543,10289.0,18888.0,0.02633445,,,deepseek/deepseek-r1-0528,
28,0.2,,0.4,0.3,0.2,0.0612244897959183,stop,4451.0,135.8548002243042,3371.0,7822.0,0.00938675,,,deepseek/deepseek-r1-0528,
29,0.5,,0.5,0.8,0.6,0.391304347826087,stop,7898.0,224.50975823402405,5322.0,13220.0,0.0152857,,,deepseek/deepseek-r1-0528,
30,0.1,,0.3,0.3,0.1,0.1818181818181818,stop,3510.0,95.74653887748718,2384.0,5894.0,0.0067942,,,deepseek/deepseek-r1-0528,
31,0.2,,0.5,0.6,0.2,0.1509433962264151,stop,15821.0,124.06027579307556,2950.0,18771.0,0.0141666,,,deepseek/deepseek-r1-0528,
32,0.1,,0.4,0.3,0.1,0.0985915492957746,stop,5215.0,96.46828365325928,2326.0,7541.0,0.007522,,,deepseek/deepseek-r1-0528,
33,0.2,,0.4,0.2,0.3,0.1228070175438596,stop,2959.0,111.706125497818,2581.0,5540.0,0.00694225,,,deepseek/deepseek-r1-0528,
34,0.1,,0.3,0.3,0.1,0.0416666666666666,stop,13994.0,260.9855365753174,6067.0,20061.0,0.02003145,,,deepseek/deepseek-r1-0528,
35,0.4,,0.8,0.4,0.4,0.2280701754385964,stop,56758.0,236.9981348514557,5324.0,62082.0,0.0397392,,,deepseek/deepseek-r1-0528,
36,0.2,,0.4,0.4,0.2,0.0363636363636363,stop,12988.0,222.7653877735138,4821.0,17809.0,0.01547675,,,deepseek/deepseek-r1-0528,
37,0.2,,0.3,0.5,0.2,0.1157894736842105,stop,18133.0,216.4328970909119,5019.0,23152.0,0.01977095,,,deepseek/deepseek-r1-0528,
38,0.2,,0.5,0.3,0.2,0.06,stop,9187.0,232.87582421302795,5661.0,14848.0,0.01667825,,,deepseek/deepseek-r1-0528,
39,0.3,,0.6,0.6,0.3,0.2857142857142857,stop,4864.0,275.65786027908325,6475.0,11339.0,0.01626685,,,deepseek/deepseek-r1-0528,
40,0.2,,0.6,0.4,0.2,0.1686746987951807,stop,5233.0,196.01544713974,4359.0,9592.0,0.01190195,,,deepseek/deepseek-r1-0528,
41,0.1,,0.5,0.4,0.1,0.1785714285714285,stop,16715.0,218.962176322937,5588.0,22303.0,0.0202853,,,deepseek/deepseek-r1-0528,
42,0.2,,0.2,0.2,0.2,0.1176470588235294,stop,7168.0,186.84032893180847,4796.0,11964.0,0.013809,,,deepseek/deepseek-r1-0528,
43,0.2,,0.8,0.3,0.2,0.1219512195121951,stop,3767.0,117.48913645744324,3207.0,6974.0,0.00869215,,,deepseek/deepseek-r1-0528,
44,0.3,,0.4,0.5,0.3,0.2413793103448276,stop,5349.0,183.9508888721466,5464.0,10813.0,0.0143357,,,deepseek/deepseek-r1-0528,
45,0.2,,0.3,0.4,0.2,0.0263157894736842,stop,4279.0,159.30230498313904,4398.0,8677.0,0.0115088,,,deepseek/deepseek-r1-0528,
46,0.4,,0.7,0.7,0.4,0.1272727272727272,stop,5431.0,160.76004028320312,4688.0,10119.0,0.0127083,,,deepseek/deepseek-r1-0528,
47,0.2,,0.2,0.4,0.2,0.1506849315068493,stop,3945.0,224.0018644332885,7328.0,11273.0,0.0176413,,,deepseek/deepseek-r1-0528,
48,0.2,,0.4,0.3,0.2,0.16,stop,5989.0,170.89408922195437,5482.0,11471.0,0.0146656,,,deepseek/deepseek-r1-0528,
49,0.3,,0.6,0.4,0.3,0.2,stop,5629.0,107.28805351257324,3289.0,8918.0,0.00979945,,,deepseek/deepseek-r1-0528,
50,0.2,,0.3,0.3,0.2,0.2,stop,13270.0,168.78697085380554,6046.0,19316.0,0.0195475,,,deepseek/deepseek-r1-0528,
51,0.3,,0.6,0.5,0.3,0.1639344262295081,stop,15177.0,116.64317750930786,4250.0,19427.0,0.0166396,,,deepseek/deepseek-r1-0528,
52,0.3,,0.6,0.3,0.3,0.0833333333333333,stop,7371.0,130.67114305496216,5155.0,12526.0,0.01468235,,,deepseek/deepseek-r1-0528,
53,0.3,,0.5,0.4,0.3,0.125,stop,4363.0,131.18051958084106,5023.0,9386.0,0.01289455,,,deepseek/deepseek-r1-0528,
54,0.1,,0.5,0.3,0.1,0.1717171717171717,stop,5087.0,164.71990084648132,6431.0,11518.0,0.01628375,,,deepseek/deepseek-r1-0528,
55,0.2,,0.6,0.4,0.2,0.1111111111111111,stop,8940.0,92.03133130073547,3665.0,12605.0,0.01223455,,,deepseek/deepseek-r1-0528,
56,0.1,,0.3,0.3,0.1,0.081081081081081,stop,4455.0,135.61419129371643,5177.0,9632.0,0.01327165,,,deepseek/deepseek-r1-0528,
57,0.2,,0.4,0.3,0.2,0.2,stop,8569.0,194.2133514881134,7331.0,15900.0,0.01995975,,,deepseek/deepseek-r1-0528,
58,0.3,,0.4,0.5,0.3,0.0875,stop,11001.0,171.67442083358765,6228.0,17229.0,0.0188043,,,deepseek/deepseek-r1-0528,
59,0.0,,0.3,0.4,0.0,0.1034482758620689,stop,4757.0,176.61453557014465,6208.0,10965.0,0.0155721,,,deepseek/deepseek-r1-0528,
60,0.2,,0.3,0.3,0.2,0.131578947368421,stop,4974.0,173.87669467926025,5970.0,10944.0,0.0152361,,,deepseek/deepseek-r1-0528,
61,0.3,,0.3,0.3,0.3,0.1475409836065573,stop,3521.0,165.1681525707245,5673.0,9194.0,0.01387105,,,deepseek/deepseek-r1-0528,
62,0.2,,0.3,0.3,0.2,0.1764705882352941,stop,5732.0,260.1671586036682,8388.0,14120.0,0.0207658,,,deepseek/deepseek-r1-0528,
63,0.2,,0.2,0.3,0.2,0.2758620689655172,stop,4708.0,112.71543765068054,3625.0,8333.0,0.01006135,,,deepseek/deepseek-r1-0528,
64,0.2,,0.3,0.4,0.2,0.1123595505617977,stop,3720.0,137.7576973438263,4602.0,8322.0,0.0116679,,,deepseek/deepseek-r1-0528,
65,0.1,,0.3,0.2,0.1,0.1,stop,4399.0,64.91135573387146,2349.0,6748.0,0.00716345,,,deepseek/deepseek-r1-0528,
66,0.1,,0.2,0.2,0.1,0.1538461538461538,stop,3445.0,196.849609375,6565.0,10010.0,0.01575085,,,deepseek/deepseek-r1-0528,
67,0.2,,0.5,0.4,0.2,0.15625,stop,5283.0,78.22053265571594,2760.0,8043.0,0.0084891,,,deepseek/deepseek-r1-0528,
68,0.2,,0.9,0.5,0.2,0.0704225352112676,stop,18440.0,96.8003957271576,3776.0,22216.0,0.017252,,,deepseek/deepseek-r1-0528,
69,0.2,,0.3,0.2,0.2,0.1025641025641025,stop,8488.0,214.7138888835907,6929.0,15417.0,0.01905495,,,deepseek/deepseek-r1-0528,
70,0.22,,0.4,0.5,0.22,0.1842105263157894,stop,22249.0,128.0627520084381,4946.0,27195.0,0.020376,,,deepseek/deepseek-r1-0528,
71,0.1,,0.3,0.4,0.1,0.1166666666666666,stop,4534.0,177.13173866271973,5481.0,10015.0,0.01396475,,,deepseek/deepseek-r1-0528,
72,0.2,,0.2,0.3,0.2,0.3421052631578947,stop,7099.0,98.09850764274596,2867.0,9966.0,0.00962715,,,deepseek/deepseek-r1-0528,
73,0.0,,0.0,0.4,0.2,0.1566265060240964,stop,17598.0,211.67534065246585,6356.0,23954.0,0.022378,,,deepseek/deepseek-r1-0528,
74,0.2,,0.3,0.3,0.2,0.2068965517241379,stop,4315.0,105.6781289577484,3168.0,7483.0,0.0088631,,,deepseek/deepseek-r1-0528,
75,0.2,,0.6,0.3,0.2,0.0697674418604651,stop,4030.0,110.15856838226318,3269.0,7299.0,0.00895695,,,deepseek/deepseek-r1-0528,
76,0.4,,0.8,0.6,0.4,0.2647058823529412,stop,17353.0,194.4826979637146,6259.0,23612.0,0.02204695,,,deepseek/deepseek-r1-0528,
77,0.1,,0.2,0.3,0.1,0.125,stop,6801.0,94.47559881210329,2224.0,9025.0,0.0080957,,,deepseek/deepseek-r1-0528,
78,0.2,,0.3,0.4,0.2,0.2941176470588235,stop,7036.0,218.45928239822388,6439.0,13475.0,0.01727545,,,deepseek/deepseek-r1-0528,
79,0.0,,0.0,0.2,0.2,0.2127659574468085,stop,4620.0,140.7732925415039,3877.0,8497.0,0.01055915,,,deepseek/deepseek-r1-0528,
80,0.3,,0.5,0.4,0.3,0.1666666666666666,stop,5733.0,150.38753175735474,4354.0,10087.0,0.0121412,,,deepseek/deepseek-r1-0528,
0,0.3,,0.6,,0.3,0.1159420289855072,stop,13188.0,93.09202551841736,4875.0,18063.0,0.00528138,1.0,0.95,deepseek/deepseek-v3.2,0.5
1,0.4,,0.4,,0.4,0.1842105263157894,stop,2709.0,336.26865577697754,12903.0,15612.0,0.00473262075,1.0,0.95,deepseek/deepseek-v3.2,0.5
2,0.3,,0.4,,0.3,0.2272727272727272,stop,19666.0,87.92266774177551,5533.0,25199.0,0.0072157,1.0,0.95,deepseek/deepseek-v3.2,0.6
3,0.3,,0.3,,0.4,0.2244897959183673,stop,4355.0,142.90150904655457,5398.0,9753.0,0.002670954,1.0,0.95,deepseek/deepseek-v3.2,0.5
4,0.3,,0.5,,0.3,0.12,stop,3434.0,289.58346128463745,11087.0,14521.0,0.0051059,1.0,0.95,deepseek/deepseek-v3.2,0.5
5,0.2,,0.3,,0.2,0.1509433962264151,stop,11744.0,176.6221797466278,10375.0,22119.0,0.00699594,1.0,0.95,deepseek/deepseek-v3.2,0.3
6,0.2,,0.3,,0.2,0.088235294117647,stop,17525.0,170.62669229507446,11385.0,28910.0,0.0060569712,1.0,0.95,deepseek/deepseek-v3.2,0.5
7,0.4,,0.7,,0.4,0.3055555555555556,stop,3706.0,247.7048189640045,6754.0,10460.0,0.00353008,1.0,0.95,deepseek/deepseek-v3.2,0.6
8,0.2,,0.3,,0.2,0.0833333333333333,stop,16670.0,115.33979415893556,7398.0,24068.0,0.00714544,1.0,0.95,deepseek/deepseek-v3.2,0.3
9,0.3,,0.3,,0.3,0.1904761904761904,stop,8932.0,92.88195776939392,4952.0,13884.0,0.00420408,1.0,0.95,deepseek/deepseek-v3.2,0.3
10,0.3,,0.9,,0.3,0.2068965517241379,stop,5013.0,308.91443371772766,4875.0,9888.0,0.00314756,1.0,0.95,deepseek/deepseek-v3.2,0.4
11,0.3,,0.3,,0.4,0.1617647058823529,stop,4976.0,359.6877529621124,10190.0,15166.0,0.0050994,1.0,0.95,deepseek/deepseek-v3.2,0.5
12,0.3,,0.7,,0.3,0.2666666666666666,stop,7532.0,173.77698254585266,8981.0,16513.0,0.0053711,1.0,0.95,deepseek/deepseek-v3.2,0.7
13,0.3,,0.3,,0.3,0.0675675675675675,stop,18460.0,103.10208868980408,7041.0,25501.0,0.00747518,1.0,0.95,deepseek/deepseek-v3.2,0.4
14,0.1,,0.4,,0.1,0.1428571428571428,stop,5446.0,209.61554145812988,5688.0,11134.0,0.00351084,1.0,0.95,deepseek/deepseek-v3.2,0.4
15,0.35,,0.6,,0.35,0.1212121212121212,stop,3894.0,100.13935661315918,6883.0,10777.0,0.0029827224,1.0,0.95,deepseek/deepseek-v3.2,0.7
16,0.4,,0.4,,0.4,0.282051282051282,stop,4192.0,73.11669111251831,5114.0,9306.0,0.0024000228,1.0,0.95,deepseek/deepseek-v3.2,0.5
17,0.2,,0.3,,0.2,0.12,stop,5027.0,124.12629723548888,8574.0,13601.0,0.0038010672,1.0,0.95,deepseek/deepseek-v3.2,0.4
18,0.2,,0.4,,0.2,0.0735294117647058,stop,9614.0,93.65464186668396,4615.0,14229.0,0.00418678,1.0,0.95,deepseek/deepseek-v3.2,0.2
19,0.3,,0.8,,0.3,0.2448979591836734,stop,10589.0,105.3760151863098,6418.0,17007.0,0.0035814492,1.0,0.95,deepseek/deepseek-v3.2,0.4
20,0.2,,0.2,,0.2,0.1590909090909091,stop,6460.0,105.38191509246826,7292.0,13752.0,0.0033881904,1.0,0.95,deepseek/deepseek-v3.2,0.3
21,0.3,,0.3,,0.3,0.2777777777777778,stop,12003.0,94.7759449481964,5952.0,17955.0,0.0035053452,1.0,0.95,deepseek/deepseek-v3.2,0.4
22,0.2,,0.3,,0.2,0.0869565217391304,stop,3160.0,220.61440920829773,6440.0,9600.0,0.0026510484,1.0,0.95,deepseek/deepseek-v3.2,0.4
23,0.3,,0.3,,0.5,0.1764705882352941,stop,5658.0,79.95459342002869,5318.0,10976.0,0.0025505928,1.0,0.95,deepseek/deepseek-v3.2,0.6
24,0.1,,0.3,,0.1,0.125,stop,9933.0,109.263432264328,6641.0,16574.0,0.00510616,1.0,0.95,deepseek/deepseek-v3.2,0.4
25,0.6,,0.8,,0.6,0.1612903225806451,stop,13430.0,195.6485686302185,13096.0,26526.0,0.0062939016,1.0,0.95,deepseek/deepseek-v3.2,0.7
26,0.1,,0.3,,0.1,0.1066666666666666,stop,14804.0,99.99018788337708,4855.0,19659.0,0.00569394,1.0,0.95,deepseek/deepseek-v3.2,0.4
27,0.3,,0.3,,0.35,0.1428571428571428,stop,5843.0,147.60654854774475,9247.0,15090.0,0.004172868,1.0,0.95,deepseek/deepseek-v3.2,0.4
28,0.1,,0.3,,0.1,0.087719298245614,stop,3936.0,103.66499447822572,6764.0,10700.0,0.003004344,1.0,0.95,deepseek/deepseek-v3.2,0.3
29,0.5,,0.6,,0.6,0.4583333333333333,stop,3064.0,90.6861252784729,6157.0,9221.0,0.0026270496,1.0,0.95,deepseek/deepseek-v3.2,0.6
30,0.4,,0.6,,0.4,0.1851851851851851,stop,3234.0,120.74148869514464,4371.0,7605.0,0.0019684728,1.0,0.95,deepseek/deepseek-v3.2,0.6
31,0.35,,0.4,,0.35,0.0961538461538461,stop,5439.0,94.31873488426208,6396.0,11835.0,0.002999052,1.0,0.95,deepseek/deepseek-v3.2,0.6
32,0.1,,0.3,,0.1,0.1142857142857142,stop,2682.0,93.63679265975952,4532.0,7214.0,0.00235292,1.0,0.95,deepseek/deepseek-v3.2,0.4
33,0.3,,0.6,,0.3,0.1481481481481481,stop,2550.0,152.57685732841492,10085.0,12635.0,0.004107726,1.0,0.95,deepseek/deepseek-v3.2,0.5
34,0.3,,0.6,,0.3,0.0454545454545454,stop,13954.0,257.50083446502686,13157.0,27111.0,0.0086277,1.0,0.95,deepseek/deepseek-v3.2,0.6
35,0.4,,0.5,,0.4,0.1481481481481481,stop,17365.0,148.25278234481812,10340.0,27705.0,0.0055672092,1.0,0.95,deepseek/deepseek-v3.2,0.5
36,0.1,,0.6,,0.1,0.0,stop,6485.0,78.37353277206421,5241.0,11726.0,0.00268884,1.0,0.95,deepseek/deepseek-v3.2,0.3
37,0.2,,0.4,,0.2,0.0879120879120879,stop,12662.0,146.46540188789368,8985.0,21647.0,0.004634406,1.0,0.95,deepseek/deepseek-v3.2,0.5
38,0.1,,0.4,,0.1,0.0961538461538461,stop,11686.0,146.52656745910645,9062.0,20748.0,0.0053235039,1.0,0.95,deepseek/deepseek-v3.2,0.4
39,0.4,,0.5,,0.4,0.28,stop,3573.0,108.5958194732666,6739.0,10312.0,0.0029050056,1.0,0.95,deepseek/deepseek-v3.2,0.8
40,0.35,,0.8,,0.35,0.1764705882352941,stop,10840.0,124.22873735427856,8123.0,18963.0,0.0041551524,1.0,0.95,deepseek/deepseek-v3.2,0.4
41,0.3,,0.4,,0.3,0.06,stop,15300.0,154.4119038581848,11018.0,26318.0,0.0058689792,1.0,0.95,deepseek/deepseek-v3.2,0.4
42,0.2,,0.5,,0.2,0.1343283582089552,stop,9430.0,152.0980899333954,7701.0,17131.0,0.00537818,1.0,0.95,deepseek/deepseek-v3.2,0.7
43,0.2,,0.5,,0.2,0.160919540229885,stop,3530.0,168.96557211875916,6940.0,10470.0,0.0030325176,1.0,0.95,deepseek/deepseek-v3.2,0.2
44,0.2,,0.2,,0.2,0.2142857142857142,stop,4296.0,82.24460124969482,5543.0,9839.0,0.0025738776,1.0,0.95,deepseek/deepseek-v3.2,0.6
45,0.2,,0.2,,0.4,0.1707317073170731,stop,5754.0,183.24754428863525,12872.0,18626.0,0.005493474,1.0,0.95,deepseek/deepseek-v3.2,0.6
46,0.5,,0.7,,0.5,0.1071428571428571,stop,5860.0,141.41479086875916,10455.0,16315.0,0.0046312812,1.0,0.95,deepseek/deepseek-v3.2,0.5
47,0.3,,0.6,,0.3,0.1780821917808219,stop,5154.0,89.24497151374817,6241.0,11395.0,0.0029450736,1.0,0.95,deepseek/deepseek-v3.2,0.5
48,0.2,,0.4,,0.2,0.1702127659574468,stop,5988.0,82.5803496837616,5780.0,11768.0,0.0027569052,1.0,0.95,deepseek/deepseek-v3.2,0.5
49,0.2,,0.2,,0.3,0.3777777777777777,stop,4364.0,242.52452564239505,9308.0,13672.0,0.003930927,1.0,0.95,deepseek/deepseek-v3.2,0.6
50,0.3,,0.5,,0.3,0.1617647058823529,stop,21299.0,127.04126906394958,8786.0,30085.0,0.0056452536,1.0,0.95,deepseek/deepseek-v3.2,0.5
51,0.3,,0.6,,0.3,0.2539682539682539,stop,8457.0,142.3308038711548,9769.0,18226.0,0.0044814168,1.0,0.95,deepseek/deepseek-v3.2,0.5
52,0.2,,0.3,,0.3,0.1,stop,4690.0,95.90119624137878,9284.0,13974.0,0.016271,1.0,0.95,deepseek/deepseek-v3.2,0.3
53,0.2,,0.8,,0.2,0.0634920634920634,stop,5967.0,129.57998132705688,9888.0,15855.0,0.0043076124,1.0,0.95,deepseek/deepseek-v3.2,0.5
54,0.3,,0.4,,0.3,0.1894736842105263,stop,4352.0,92.14084148406982,6001.0,10353.0,0.0027137124,1.0,0.95,deepseek/deepseek-v3.2,0.4
55,0.2,,0.3,,0.2,0.1186440677966101,stop,13040.0,96.47179126739502,6187.0,19227.0,0.0037913148,1.0,0.95,deepseek/deepseek-v3.2,0.6
56,0.3,,0.5,,0.3,0.0933333333333333,stop,4453.0,97.17838525772096,6340.0,10793.0,0.002882502,1.0,0.95,deepseek/deepseek-v3.2,0.5
57,0.3,,0.3,,0.3,0.1568627450980392,stop,5940.0,84.12062406539917,5516.0,11456.0,0.0027062532,1.0,0.95,deepseek/deepseek-v3.2,0.5
58,0.3,,0.3,,0.4,0.1518987341772152,stop,12749.0,176.1154501438141,12527.0,25276.0,0.0060396588,1.0,0.95,deepseek/deepseek-v3.2,0.6
59,0.2,,0.7,,0.2,0.1071428571428571,stop,4644.0,110.2564582824707,7305.0,11949.0,0.0032155704,1.0,0.95,deepseek/deepseek-v3.2,0.3
60,0.1,,0.3,,0.1,0.0714285714285714,stop,3992.0,277.30973076820374,12921.0,16913.0,0.0052655148,1.0,0.95,deepseek/deepseek-v3.2,0.5
61,0.3,,0.8,,0.3,0.2698412698412698,stop,2999.0,101.08504819869997,6849.0,9848.0,0.0028686168,1.0,0.95,deepseek/deepseek-v3.2,0.5
62,0.3,,0.4,,0.3,0.2033898305084746,stop,5577.0,115.45505619049072,7489.0,13066.0,0.0034267968,1.0,0.95,deepseek/deepseek-v3.2,0.4
63,0.2,,0.4,,0.2,0.3125,stop,5094.0,125.3319730758667,8257.0,13351.0,0.0037001664,1.0,0.95,deepseek/deepseek-v3.2,0.2
64,0.3,,0.6,,0.3,0.0930232558139534,stop,14074.0,203.0456120967865,14315.0,28389.0,0.0069149304,1.0,0.95,deepseek/deepseek-v3.2,0.5
65,0.3,,0.4,,0.3,0.1323529411764706,stop,9054.0,176.25827026367188,8778.0,17832.0,0.004244562,1.0,0.95,deepseek/deepseek-v3.2,0.4
66,0.2,,0.2,,0.2,0.0535714285714285,stop,3065.0,94.95964670181274,6342.0,9407.0,0.0027040356,1.0,0.95,deepseek/deepseek-v3.2,0.4
67,0.3,,0.8,,0.3,0.1911764705882352,stop,3811.0,84.8170952796936,5499.0,9310.0,0.002468592,1.0,0.95,deepseek/deepseek-v3.2,0.6
68,0.3,,0.7,,0.3,0.0895522388059701,stop,13136.0,142.51137256622314,10260.0,23396.0,0.0054011412,1.0,0.95,deepseek/deepseek-v3.2,0.5
69,0.4,,0.4,,0.5,0.1052631578947368,stop,3628.0,101.47616267204285,7153.0,10781.0,0.0030504096,1.0,0.95,deepseek/deepseek-v3.2,0.6
70,0.2,,0.4,,0.2,0.1232876712328767,stop,18006.0,93.48586416244508,6895.0,24901.0,0.0044487576,1.0,0.95,deepseek/deepseek-v3.2,0.5
71,0.2,,0.2,,0.3,0.1020408163265306,stop,5263.0,120.90810441970824,8706.0,13969.0,0.0038294676,1.0,0.95,deepseek/deepseek-v3.2,0.4
72,0.3,,0.3,,0.3,0.25,stop,5864.0,93.65712642669678,6144.0,12008.0,0.002922444,1.0,0.95,deepseek/deepseek-v3.2,0.4
73,0.3,,0.3,,0.4,0.1785714285714285,stop,18101.0,150.78403687477112,5775.0,23876.0,0.0042403032,1.0,0.95,deepseek/deepseek-v3.2,0.4
74,0.1,,0.3,,0.1,0.2372881355932203,stop,4767.0,91.69862985610962,6172.0,10939.0,0.0027883548,1.0,0.95,deepseek/deepseek-v3.2,0.4
75,0.3,,0.3,,0.3,0.0919540229885057,stop,4903.0,191.42173075675964,13668.0,18571.0,0.0057350412,1.0,0.95,deepseek/deepseek-v3.2,0.3
76,0.3,,1.0,,0.3,0.2580645161290322,stop,6943.0,81.35775351524353,5677.0,12620.0,0.0028722204,1.0,0.95,deepseek/deepseek-v3.2,0.7
77,0.4,,0.4,,0.4,0.1153846153846153,stop,16333.0,118.08007788658142,8187.0,24520.0,0.0046547928,1.0,0.95,deepseek/deepseek-v3.2,0.5
78,0.3,,0.4,,0.3,0.3571428571428571,stop,6666.0,115.18779611587524,8329.0,14995.0,0.0038758608,1.0,0.95,deepseek/deepseek-v3.2,0.5
79,0.1,,0.5,,0.1,0.1914893617021276,stop,4262.0,112.56011748313904,7486.0,11748.0,0.003294774,1.0,0.95,deepseek/deepseek-v3.2,0.6
80,0.3,,0.4,,0.3,0.15,stop,3847.0,155.4728684425354,11610.0,15457.0,0.0047821788,1.0,0.95,deepseek/deepseek-v3.2,0.4
0,0.2,,0.6,,0.2,0.1034482758620689,stop,11941.0,140.72298955917358,2482.0,14423.0,0.00546725,,,deepseek/deepseek-chat-v3-0324,0.5
1,0.2,,0.5,,0.2,0.1666666666666666,stop,8962.0,98.51760721206664,1536.0,10498.0,0.0037765,,,deepseek/deepseek-chat-v3-0324,0.3
2,0.2,,0.4,,0.2,0.2432432432432432,stop,17113.0,114.44877529144289,1892.0,19005.0,0.00617025,,,deepseek/deepseek-chat-v3-0324,0.3
3,0.2,,0.4,,0.2,0.2045454545454545,stop,4468.0,107.29890131950378,1802.0,6270.0,0.002919,,,deepseek/deepseek-chat-v3-0324,0.4
4,0.1,,0.4,,0.1,0.0192307692307692,stop,5686.0,34.36750388145447,1553.0,7239.0,0.00327458,,,deepseek/deepseek-chat-v3-0324,0.4
5,0.1,,0.4,,0.1,0.0338983050847457,stop,9638.0,29.503910303115845,1434.0,11072.0,0.00420834,,,deepseek/deepseek-chat-v3-0324,0.2
6,0.1,,0.3,,0.1,0.1384615384615384,stop,16159.0,100.81835603713988,1611.0,17770.0,0.00565075,,,deepseek/deepseek-chat-v3-0324,0.2
