model,short,relation,essay,essay_sem,debiased,delta,gpt_oss,qwen36,dsv4,judge_mid,dev_gpt_oss,dev_qwen36,dev_dsv4,legal_ref,rec_gpbam,rec_mostcited,aa_index,open_weights
Qwen/Qwen3.6-35B-A3B-FP8,Qwen3.6-35B-A3B,self,30.617283950617285,0.9991613614962128,28.271604938271604,-2.3456790123456805,30.37037037037037,36.91358024691358,23.58024691358025,30.37037037037037,0.0,6.543209876543212,-6.79012345679012,15.235560694599965,16.65751836192615,20.265089419925687,32.0,True
qwen3-next-80b-a3b-instruct,Qwen3-next-80b-I,vendor,30.617283950617285,0.9353430580185584,30.617283950617285,0.0,33.95061728395061,34.81481481481482,23.82716049382716,33.95061728395061,0.0,0.8641975308642031,-10.123456790123452,12.7914481054099,12.091155021592504,13.601571786687494,14.0,True
openai/gpt-oss-120b,GPT-oss-120b,self,29.753086419753085,0.9934245024340174,28.14814814814815,-1.6049382716049365,36.29629629629629,30.74074074074074,21.481481481481485,30.74074074074074,5.55555555555555,0.0,-9.259259259259256,9.399725337420591,12.402445962410198,13.752257182406554,24.0,True
deepseek/deepseek-chat-v3-0324,DeepSeek-chat-v3,vendor,26.358024691358025,0.8193848644960552,26.358024691358025,0.0,25.864197530864203,31.35802469135801,21.728395061728392,25.864197530864203,0.0,5.493827160493808,-4.135802469135811,14.724252401953215,22.39219551496897,24.06227705445096,15.0,True
soofi-s-isar-preview,Soofi-S-Isar,,26.11111111111111,0.9128709291752768,26.11111111111111,0.0,26.48148148148148,33.08641975308642,22.34567901234568,26.48148148148148,0.0,6.6049382716049365,-4.1358024691358,14.394410618114136,16.238708508832694,24.91620272954472,,True
meta-llama/llama-4-maverick,Llama-4-maverick,,24.444444444444443,0.6804138174397716,24.444444444444443,0.0,25.555555555555557,27.283950617283956,22.22222222222222,25.555555555555557,0.0,1.7283950617283992,-3.3333333333333357,12.20199791285533,26.781145221236837,36.12697657547357,14.0,True
GaleneAI/Magistral-Small-2509-FP8-Dynamic,Magistral-S,,23.33333333333333,0.7027283689263064,23.33333333333333,0.0,23.086419753086417,26.79012345679012,20.49382716049383,23.086419753086417,0.0,3.7037037037037024,-2.592592592592588,10.212682040669526,12.496395823577256,14.848142799060769,11.0,True
RedHatAI/Mistral-Small-3.2-24B-Instruct-2506-FP8,Mistral-S-3.2-24B-I,,21.97530864197531,0.6191330329935719,21.97530864197531,0.0,21.85185185185185,24.567901234567906,20.0,21.85185185185185,0.0,2.7160493827160543,-1.8518518518518512,10.66135339971012,11.857787731801286,15.762795531721668,11.0,True
openai/gpt-5-nano,GPT-5-nano,vendor,21.48148148148148,0.6599455437483505,21.48148148148148,0.0,22.283950617283956,23.086419753086417,19.012345679012345,22.283950617283956,0.0,0.8024691358024612,-3.2716049382716115,10.205744009810642,10.410809757118514,11.76577214758807,20.0,False
openai/gpt-4o-mini-2024-07-18,GPT-4o-mini,vendor,19.50617283950617,0.6550194269077685,19.50617283950617,0.0,18.271604938271604,22.96296296296296,17.530864197530864,18.271604938271604,0.0,4.691358024691354,-0.7407407407407405,8.231784011164397,12.86624996175979,16.301359247090545,7.0,False
windprak/open_steuerllm,Open_steuerllm,,17.77777777777778,0.6334307917217433,17.77777777777778,0.0,16.913580246913583,20.37037037037037,16.17283950617284,16.913580246913583,0.0,3.4567901234567877,-0.740740740740744,8.570316800600928,15.24165212815912,17.161109416650888,,True
meta-llama/llama-3.3-70b-instruct,Llama-3.3-70b-I,,16.790123456790123,0.6292058607813337,16.790123456790123,0.0,15.555555555555555,17.530864197530864,15.555555555555555,15.555555555555555,0.0,1.9753086419753085,0.0,6.632656721894913,12.566947856259162,17.12405720976842,9.0,True
qwen/qwen3-32b,Qwen3-32b,vendor,13.209876543209877,0.8207787722762796,13.209876543209877,0.0,13.703703703703704,12.34567901234568,12.839506172839506,12.839506172839506,0.8641975308641978,-0.4938271604938258,0.0,5.883779436918483,9.316366411554188,9.946924432783335,11.0,True
utter-project/EuroLLM-22B-Instruct-2512,EuroLLM-22B-I,,9.25925925925926,0.7612890663368321,9.25925925925926,0.0,7.901234567901234,10.740740740740742,9.382716049382717,9.382716049382717,-1.4814814814814827,1.3580246913580254,0.0,3.995463523306067,9.770312160562655,12.112355385147415,,True
mistralai/Ministral-3-14B-Reasoning-2512,Ministral-3-14B-R,,8.765432098765432,0.7532381955941531,8.765432098765432,0.0,9.25925925925926,6.419753086419753,10.987654320987655,9.25925925925926,0.0,-2.8395061728395063,1.7283950617283956,7.360789439675461,9.155051815192197,12.29698464929758,10.0,True
ibm-granite/granite-4.1-3b,Granite-4.1-3b,,7.530864197530864,0.5701111056305588,7.530864197530864,0.0,5.802469135802468,7.28395061728395,9.1358024691358,7.28395061728395,-1.4814814814814818,0.0,1.8518518518518503,3.3186964925728217,7.743099633163821,9.72766281412,4.0,True
Microsoft/Phi-4-mini-instruct,Phi-4-mini-I,,5.432098765432099,0.5839780224822376,5.432098765432099,0.0,4.444444444444445,5.555555555555555,7.65432098765432,5.555555555555555,-1.1111111111111107,0.0,2.098765432098765,3.134350293360296,7.37443370989908,8.460882161785818,6.0,True
meta-llama/llama-3.1-8b-instruct,Llama-3.1-8b-I,,4.814814814814815,0.6829292190587325,4.814814814814815,0.0,3.4567901234567904,5.308641975308641,7.65432098765432,5.308641975308641,-1.8518518518518503,0.0,2.3456790123456797,2.6263704234233702,8.005459832216845,10.195390637185618,7.0,True
