index,chars,prompt_tokens,visible_tokens,thinking_tokens,completion_tokens,completion_tokens_proportional,cost_usd,cost_usd_proportional
27,65840,3321.0,23666.0,7420.0,31086.0,50625.0,0.793755,1.28223
28,47399,1484.0,17038.0,7706.0,24744.0,36447.0,0.62602,0.918595
29,47981,2339.0,17247.0,6078.0,23325.0,36894.0,0.59482,0.934045
30,52287,1794.0,18795.0,7261.0,26056.0,40205.0,0.66037,1.014095
31,34439,2874.0,12379.0,5225.0,17604.0,26480.0,0.45447,0.67637
32,46960,1589.0,16880.0,10840.0,27720.0,36109.0,0.700945,0.91067
33,52321,1718.0,18807.0,6084.0,24891.0,40231.0,0.630865,1.014365
34,66634,3699.0,23952.0,14196.0,38148.0,51237.0,0.972195,1.29942
35,56080,4288.0,20158.0,10175.0,30333.0,43121.0,0.779765,1.099465
36,56471,2588.0,20299.0,13065.0,33364.0,43422.0,0.84704,1.09849
37,51456,3392.0,18496.0,5733.0,24229.0,39565.0,0.622685,1.006085
38,63364,3500.0,22776.0,12541.0,35317.0,48721.0,0.900425,1.235525
39,65611,2964.0,23584.0,10835.0,34419.0,50449.0,0.875295,1.276045
40,65025,4094.0,23373.0,13498.0,36871.0,49998.0,0.942245,1.27042
41,58593,3056.0,21061.0,8297.0,29358.0,45052.0,0.74923,1.14158
42,55399,2645.0,19913.0,5541.0,25454.0,42597.0,0.649575,1.07815
43,65529,2470.0,23554.0,8864.0,32418.0,50385.0,0.8228,1.271975
44,52096,3175.0,18726.0,7236.0,25962.0,40057.0,0.664925,1.0173
45,79224,3852.0,28477.0,4425.0,32902.0,60916.0,0.84181,1.54216
46,51747,4042.0,18601.0,13117.0,31718.0,39790.0,0.81316,1.01496
47,64688,3503.0,23252.0,9485.0,32737.0,49739.0,0.83594,1.26099
48,42450,3377.0,15259.0,13967.0,29226.0,32641.0,0.747535,0.83291
49,54089,2835.0,19442.0,5525.0,24967.0,41589.0,0.63835,1.0539
50,35444,3595.0,12740.0,8154.0,20894.0,27253.0,0.540325,0.6993
51,45899,4022.0,16498.0,13825.0,30323.0,35291.0,0.778185,0.902385
52,45733,4653.0,16439.0,11731.0,28170.0,35165.0,0.727515,0.90239
53,49126,3358.0,17658.0,12583.0,30241.0,37773.0,0.772815,0.961115
54,46935,3484.0,16871.0,9180.0,26051.0,36089.0,0.668695,0.919645
55,54230,3008.0,19493.0,15877.0,35370.0,41698.0,0.89929,1.05749
56,45520,3231.0,16362.0,17268.0,33630.0,35001.0,0.856905,0.89118
57,61393,3257.0,22068.0,12750.0,34818.0,47206.0,0.886735,1.196435
58,58336,3285.0,20969.0,11327.0,32296.0,44856.0,0.823825,1.137825
59,55652,3262.0,20004.0,4954.0,24958.0,42791.0,0.64026,1.086085
60,52666,4043.0,18931.0,15971.0,34902.0,40496.0,0.892765,1.032615
61,61838,2817.0,22228.0,5968.0,28196.0,47549.0,0.718985,1.20281
62,55389,5374.0,19910.0,22267.0,42177.0,42590.0,1.081295,1.09162
63,71810,4143.0,25812.0,7061.0,32873.0,55215.0,0.84254,1.40109
64,49562,2940.0,17815.0,9864.0,27679.0,38109.0,0.706675,0.967425
65,55192,2958.0,19839.0,7897.0,27736.0,42438.0,0.70819,1.07574
66,60790,2203.0,21851.0,8421.0,30272.0,46742.0,0.767815,1.179565
67,57382,2949.0,20626.0,15467.0,36093.0,44122.0,0.91707,1.117795
68,65030,3706.0,23375.0,8167.0,31542.0,50002.0,0.80708,1.26858
69,56261,3591.0,20223.0,9633.0,29856.0,43260.0,0.764355,1.099455
70,55308,3065.0,19881.0,13026.0,32907.0,42528.0,0.838,1.078525
71,46815,3036.0,16828.0,15872.0,32700.0,35997.0,0.83268,0.915105
72,62486,4455.0,22461.0,10127.0,32588.0,48047.0,0.836975,1.22345
73,54985,3069.0,19764.0,7315.0,27079.0,42278.0,0.69232,1.072295
74,46133,3455.0,16583.0,20818.0,37401.0,35473.0,0.9523,0.9041
75,39839,2874.0,14320.0,14137.0,28457.0,30632.0,0.725795,0.78017
76,44517,3766.0,16002.0,8936.0,24938.0,34230.0,0.64228,0.87458
77,64621,3738.0,23228.0,10533.0,33761.0,49688.0,0.862715,1.26089
78,58872,5201.0,21162.0,9757.0,30919.0,45268.0,0.79898,1.157705
79,44931,3691.0,16150.0,6762.0,22912.0,34547.0,0.591255,0.88213
80,44798,3643.0,16103.0,10714.0,26817.0,34446.0,0.68864,0.879365
