index,model,finish_reason,prompt_tokens,time,completion_tokens,total_tokens,total_cost,temperature,top_p,legal_ref_sim,score_Judge (gpt-oss-120b),score_Judge (qwen3.6-35b-a3b),score_Judge (DeepSeek-V4-Flash-0731)
26,Qwen/Qwen3.6-35B-A3B-FP8,stop,2824.0,122.22468614578248,10079.0,12903.0,0.0,,,0.0869565217391304,0.3,0.3,0.2
27,Qwen/Qwen3.6-35B-A3B-FP8,stop,2371.0,97.6026692390442,8033.0,10404.0,0.0,,,0.1162790697674418,0.3,0.3,0.1
28,Qwen/Qwen3.6-35B-A3B-FP8,stop,1036.0,97.00620412826538,8013.0,9049.0,0.0,,,0.1304347826086956,0.2,0.3,0.1
29,Qwen/Qwen3.6-35B-A3B-FP8,stop,1647.0,93.3902313709259,7694.0,9341.0,0.0,,,0.3571428571428571,0.5,0.4,0.3
30,Qwen/Qwen3.6-35B-A3B-FP8,stop,1285.0,90.4938440322876,7557.0,8842.0,0.0,,,0.0588235294117647,0.6,0.4,0.3
31,Qwen/Qwen3.6-35B-A3B-FP8,stop,2020.0,90.65004253387453,7580.0,9600.0,0.0,,,0.0625,0.4,0.4,0.3
32,Qwen/Qwen3.6-35B-A3B-FP8,stop,1178.0,77.06607341766357,6462.0,7640.0,0.0,,,0.1071428571428571,0.4,0.4,0.3
33,Qwen/Qwen3.6-35B-A3B-FP8,stop,1272.0,104.82134008407591,8795.0,10067.0,0.0,,,0.125,0.4,0.3,0.2
34,Qwen/Qwen3.6-35B-A3B-FP8,stop,2638.0,119.86659979820251,10030.0,12668.0,0.0,,,0.08,0.3,0.3,0.2
35,Qwen/Qwen3.6-35B-A3B-FP8,stop,2909.0,131.93506789207458,11009.0,13918.0,0.0,,,0.1333333333333333,0.4,0.4,0.1
36,Qwen/Qwen3.6-35B-A3B-FP8,stop,1834.0,106.22865223884584,8894.0,10728.0,0.0,,,0.0625,0.3,0.3,0.1
37,Qwen/Qwen3.6-35B-A3B-FP8,stop,2448.0,115.64151215553284,9654.0,12102.0,0.0,,,0.32,0.2,0.3,0.2
38,Qwen/Qwen3.6-35B-A3B-FP8,stop,2510.0,134.04598927497864,11270.0,13780.0,0.0,,,0.074074074074074,0.3,0.3,0.2
39,Qwen/Qwen3.6-35B-A3B-FP8,stop,2113.0,112.48439908027648,9391.0,11504.0,0.0,,,0.25,0.2,0.4,0.3
40,Qwen/Qwen3.6-35B-A3B-FP8,stop,2945.0,120.29658842086792,10870.0,13815.0,0.0,,,0.1590909090909091,0.3,0.3,0.2
41,Qwen/Qwen3.6-35B-A3B-FP8,stop,2184.0,97.2760524749756,8421.0,10605.0,0.0,,,0.25,0.3,0.3,0.3
42,Qwen/Qwen3.6-35B-A3B-FP8,stop,1887.0,86.9128828048706,7488.0,9375.0,0.0,,,0.2413793103448276,0.3,0.2,0.1
43,Qwen/Qwen3.6-35B-A3B-FP8,stop,1764.0,94.00473737716676,9006.0,10770.0,0.0,,,0.106060606060606,0.3,0.4,0.2
44,Qwen/Qwen3.6-35B-A3B-FP8,stop,2133.0,78.9563775062561,7768.0,9901.0,0.0,,,0.4,0.3,0.5,0.4
45,Qwen/Qwen3.6-35B-A3B-FP8,stop,2684.0,95.57574677467346,9774.0,12458.0,0.0,,,0.0909090909090909,0.3,0.3,0.4
46,Qwen/Qwen3.6-35B-A3B-FP8,stop,2872.0,71.5674078464508,7477.0,10349.0,0.0,,,0.2608695652173913,0.2,0.4,0.3
47,Qwen/Qwen3.6-35B-A3B-FP8,stop,2603.0,86.57473611831665,9261.0,11864.0,0.0,,,0.1219512195121951,0.1,0.3,0.2
48,Qwen/Qwen3.6-35B-A3B-FP8,stop,2373.0,85.11978459358215,9142.0,11515.0,0.0,,,0.2857142857142857,0.3,0.3,0.3
49,Qwen/Qwen3.6-35B-A3B-FP8,stop,1999.0,64.85681772232056,7248.0,9247.0,0.0,,,0.2571428571428571,0.3,0.3,0.2
50,Qwen/Qwen3.6-35B-A3B-FP8,stop,2532.0,73.92640352249146,8303.0,10835.0,0.0,,,0.1707317073170731,0.2,0.4,0.3
51,Qwen/Qwen3.6-35B-A3B-FP8,stop,2816.0,62.31914401054382,6997.0,9813.0,0.0,,,0.1875,0.3,0.4,0.3
52,Qwen/Qwen3.6-35B-A3B-FP8,stop,3280.0,92.2682728767395,9315.0,12595.0,0.0,,,0.0,0.2,0.3,0.2
53,Qwen/Qwen3.6-35B-A3B-FP8,stop,2405.0,73.00058794021606,7396.0,9801.0,0.0,,,0.1162790697674418,0.4,0.4,0.2
54,Qwen/Qwen3.6-35B-A3B-FP8,stop,2473.0,88.49452614784241,8643.0,11116.0,0.0,,,0.1458333333333333,0.3,0.3,0.3
55,Qwen/Qwen3.6-35B-A3B-FP8,stop,2094.0,123.27314281463624,11112.0,13206.0,0.0,,,0.2631578947368421,0.3,0.4,0.5
56,Qwen/Qwen3.6-35B-A3B-FP8,stop,2365.0,88.63428235054016,8033.0,10398.0,0.0,,,0.1794871794871795,0.3,0.3,0.2
57,Qwen/Qwen3.6-35B-A3B-FP8,stop,2307.0,88.8220899105072,7901.0,10208.0,0.0,,,0.0,0.2,0.4,0.2
58,Qwen/Qwen3.6-35B-A3B-FP8,stop,2351.0,103.11274886131288,8926.0,11277.0,0.0,,,0.1489361702127659,0.4,0.4,0.2
59,Qwen/Qwen3.6-35B-A3B-FP8,stop,2320.0,92.23537564277648,8064.0,10384.0,0.0,,,0.1851851851851851,0.3,0.4,0.2
60,Qwen/Qwen3.6-35B-A3B-FP8,stop,2882.0,113.83580470085144,9613.0,12495.0,0.0,,,0.0967741935483871,0.3,0.4,0.2
61,Qwen/Qwen3.6-35B-A3B-FP8,stop,2035.0,107.68168210983276,8800.0,10835.0,0.0,,,0.0666666666666666,0.2,0.5,0.3
62,Qwen/Qwen3.6-35B-A3B-FP8,stop,3806.0,115.78558588027954,9295.0,13101.0,0.0,,,0.1818181818181818,0.3,0.3,0.3
63,Qwen/Qwen3.6-35B-A3B-FP8,stop,2962.0,109.61136603355408,8783.0,11745.0,0.0,,,0.0,0.3,0.3,0.1
64,Qwen/Qwen3.6-35B-A3B-FP8,stop,2145.0,119.22985529899596,9551.0,11696.0,0.0,,,0.1428571428571428,0.2,0.3,0.2
65,Qwen/Qwen3.6-35B-A3B-FP8,stop,2087.0,84.90346360206604,6742.0,8829.0,0.0,,,0.0681818181818181,0.2,0.2,0.1
66,Qwen/Qwen3.6-35B-A3B-FP8,stop,1576.0,114.24278140068054,9096.0,10672.0,0.0,,,0.0909090909090909,0.2,0.3,0.1
67,Qwen/Qwen3.6-35B-A3B-FP8,stop,2109.0,120.22012162208556,9533.0,11642.0,0.0,,,0.2,0.3,0.3,0.2
68,Qwen/Qwen3.6-35B-A3B-FP8,stop,2598.0,119.28064513206482,9449.0,12047.0,0.0,,,0.1111111111111111,0.4,0.4,0.2
69,Qwen/Qwen3.6-35B-A3B-FP8,stop,2452.0,111.30363154411316,8826.0,11278.0,0.0,,,0.0,0.2,0.4,0.1
70,Qwen/Qwen3.6-35B-A3B-FP8,stop,2171.0,88.14687132835388,7031.0,9202.0,0.0,,,0.0789473684210526,0.3,0.3,0.2
71,Qwen/Qwen3.6-35B-A3B-FP8,stop,2187.0,396.4996156692505,9132.0,11319.0,0.0,,,0.0714285714285714,0.2,0.3,0.2
72,Qwen/Qwen3.6-35B-A3B-FP8,stop,3184.0,114.43423795700072,9072.0,12256.0,0.0,,,0.2631578947368421,0.3,0.4,0.1
73,Qwen/Qwen3.6-35B-A3B-FP8,stop,2248.0,133.74154353141785,10627.0,12875.0,0.0,,,0.1509433962264151,0.4,0.6,0.4
74,Qwen/Qwen3.6-35B-A3B-FP8,stop,2480.0,158.64832544326782,12773.0,15253.0,0.0,,,0.2352941176470588,0.3,0.4,0.2
75,Qwen/Qwen3.6-35B-A3B-FP8,stop,2107.0,99.97001767158508,7906.0,10013.0,0.0,,,0.196078431372549,0.4,0.5,0.2
76,Qwen/Qwen3.6-35B-A3B-FP8,stop,2628.0,111.63244652748108,8866.0,11494.0,0.0,,,0.1176470588235294,0.5,0.6,0.5
77,Qwen/Qwen3.6-35B-A3B-FP8,stop,2657.0,141.44236135482788,11828.0,14485.0,0.0,,,0.25,0.3,0.4,0.2
78,Qwen/Qwen3.6-35B-A3B-FP8,stop,3627.0,107.87090063095091,8690.0,12317.0,0.0,,,0.1666666666666666,0.1,0.3,0.1
79,Qwen/Qwen3.6-35B-A3B-FP8,stop,2673.0,91.6937894821167,7317.0,9990.0,0.0,,,0.04,0.3,0.5,0.3
80,Qwen/Qwen3.6-35B-A3B-FP8,stop,2539.0,99.91274547576904,8097.0,10636.0,0.0,,,0.2352941176470588,0.4,0.6,0.3
0,deepseek/deepseek-r1-0528,stop,2198.0,372.92830061912537,6918.0,9116.0,0.01618024,,,0.0909090909090909,0.3,0.4,0.3
1,deepseek/deepseek-r1-0528,stop,1747.0,98.43176054954527,2596.0,4343.0,0.0064453,,,0.1578947368421052,0.4,0.4,0.3
2,deepseek/deepseek-r1-0528,stop,2552.0,372.9020948410034,7001.0,9553.0,0.01653818,,,0.3125,0.2,0.5,0.4
3,deepseek/deepseek-r1-0528,stop,3121.0,173.4857087135315,4988.0,8109.0,0.013184659,,,0.238095238095238,0.3,0.4,0.3
4,deepseek/deepseek-r1-0528,stop,1633.0,260.35924434661865,7144.0,8777.0,0.017263627,,,0.024390243902439,0.3,0.3,0.2
5,deepseek/deepseek-r1-0528,stop,2586.0,402.864223241806,7471.0,10057.0,0.01757978,,,0.2962962962962963,0.1,0.4,0.2
6,deepseek/deepseek-r1-0528,stop,2350.0,303.80051732063293,8905.0,11255.0,0.02169868,,,0.238095238095238,0.3,0.2,0.3
7,deepseek/deepseek-r1-0528,stop,2093.0,210.1070575714112,6060.0,8153.0,0.015048263,,,,0.3,0.5,0.4
8,deepseek/deepseek-r1-0528,stop,2752.0,116.95687508583067,4063.0,6815.0,0.01085941,,,0.2727272727272727,0.3,0.5,0.2
9,deepseek/deepseek-r1-0528,stop,3423.0,179.73245811462402,6737.0,10160.0,0.017355315,,,0.1666666666666666,0.4,0.3,0.2
10,deepseek/deepseek-r1-0528,stop,1987.0,148.45501828193665,4001.0,5988.0,0.00950925,,,0.2666666666666666,0.3,0.3,0.2
11,deepseek/deepseek-r1-0528,stop,2041.0,174.52213096618652,4821.0,6862.0,0.01129925,,,0.125,0.3,0.5,0.3
12,deepseek/deepseek-r1-0528,stop,1831.0,223.09981441497803,5593.0,7424.0,0.01285405,,,0.1428571428571428,0.4,0.6,0.6
13,deepseek/deepseek-r1-0528,stop,1588.0,209.54284715652463,5301.0,6889.0,0.01210475,,,0.1632653061224489,0.2,0.3,0.3
14,deepseek/deepseek-r1-0528,stop,2410.0,114.43200469017027,3156.0,5566.0,0.007904,,,0.2068965517241379,0.2,0.3,0.2
15,deepseek/deepseek-r1-0528,stop,2838.0,361.45618057250977,7727.0,10565.0,0.01794565,,,0.3214285714285714,0.2,0.3,0.2
16,deepseek/deepseek-r1-0528,stop,2376.0,242.8950982093811,5533.0,7909.0,0.01299755,,,0.2727272727272727,0.4,0.4,0.4
17,deepseek/deepseek-r1-0528,stop,2441.0,340.823698759079,6870.0,9311.0,0.0159046,,,0.3,0.3,0.5,0.3
18,deepseek/deepseek-r1-0528,stop,2116.0,267.6190207004547,5278.0,7394.0,0.0123193,,,0.1063829787234042,0.3,0.3,0.2
19,deepseek/deepseek-r1-0528,stop,3102.0,457.54119324684143,9324.0,12426.0,0.0215112,,,0.2857142857142857,0.4,0.4,0.4
20,deepseek/deepseek-r1-0528,stop,2790.0,356.0507581233978,6837.0,9627.0,0.01600815,,,0.1111111111111111,0.2,0.3,0.3
21,deepseek/deepseek-r1-0528,stop,3040.0,282.11303091049194,5204.0,8244.0,0.0126222,,,0.2413793103448276,0.2,0.4,0.2
22,deepseek/deepseek-r1-0528,stop,1828.0,347.0288562774658,6607.0,8435.0,0.01503265,,,0.081081081081081,0.3,0.3,0.3
23,deepseek/deepseek-r1-0528,stop,2881.0,333.5592746734619,6463.0,9344.0,0.01524955,,,0.15,0.4,0.5,0.3
24,deepseek/deepseek-r1-0528,stop,1694.0,213.9303393363953,3874.0,5568.0,0.0090897,,,0.1764705882352941,0.2,0.4,0.2
25,deepseek/deepseek-r1-0528,stop,2585.0,261.4180145263672,5407.0,7992.0,0.01283115,,,0.1860465116279069,0.2,0.4,0.2
26,deepseek/deepseek-r1-0528,stop,3044.0,144.98920679092407,2795.0,5839.0,0.00744485,,,0.1219512195121951,0.4,0.4,0.3
27,deepseek/deepseek-r1-0528,stop,2680.0,335.5093514919281,8213.0,10893.0,0.01898835,,,0.2972972972972973,0.1,0.3,0.1
28,deepseek/deepseek-r1-0528,stop,1167.0,175.90620708465576,6597.0,7764.0,0.015747099,,,0.2272727272727272,0.3,0.3,0.1
29,deepseek/deepseek-r1-0528,stop,1811.0,108.68372511863708,2696.0,4507.0,0.0066155,,,0.3571428571428571,0.6,0.5,0.4
30,deepseek/deepseek-r1-0528,stop,1406.0,356.9725675582886,7348.0,8754.0,0.0162996,,,0.0526315789473684,0.4,0.4,0.2
31,deepseek/deepseek-r1-0528,stop,2302.0,170.9848837852478,4405.0,6707.0,0.01053535,,,0.0769230769230769,0.2,0.3,0.3
32,deepseek/deepseek-r1-0528,stop,1235.0,192.76073622703552,4884.0,6119.0,0.0110317,,,0.1785714285714285,0.2,0.2,0.2
33,deepseek/deepseek-r1-0528,stop,1362.0,164.83177542686462,4196.0,5558.0,0.009616,,,0.2121212121212121,0.3,0.3,0.2
34,deepseek/deepseek-r1-0528,stop,2909.0,254.18982768058777,5996.0,8905.0,0.0142595,,,0.064516129032258,0.3,0.4,0.3
35,deepseek/deepseek-r1-0528,stop,3358.0,209.0196619033813,5094.0,8452.0,0.0125447,,,0.1860465116279069,0.5,0.4,0.6
36,deepseek/deepseek-r1-0528,stop,2060.0,242.11931228637687,5771.0,7831.0,0.01335125,,,0.1875,0.5,0.3,0.3
37,deepseek/deepseek-r1-0528,stop,2684.0,265.698459148407,6006.0,8690.0,0.0141685,,,0.3076923076923077,0.4,0.5,0.3
38,deepseek/deepseek-r1-0528,stop,2767.0,228.8921895027161,5285.0,8052.0,0.01265985,,,0.0588235294117647,0.5,0.4,0.3
39,deepseek/deepseek-r1-0528,stop,2348.0,276.0884654521942,6705.0,9053.0,0.01550335,,,0.3076923076923077,0.4,0.5,0.3
40,deepseek/deepseek-r1-0528,stop,3199.0,248.1377968788147,5947.0,9146.0,0.01429915,,,0.3023255813953488,0.5,0.4,0.3
41,deepseek/deepseek-r1-0528,stop,2374.0,227.2852966785431,5544.0,7918.0,0.0130202,,,0.2,0.2,0.3,0.2
42,deepseek/deepseek-r1-0528,stop,2089.0,213.96851181983948,5320.0,7409.0,0.0123961,,,0.2142857142857142,0.2,0.4,0.2
43,deepseek/deepseek-r1-0528,stop,1935.0,255.28837704658508,6858.0,8793.0,0.0156258,,,0.234375,0.3,0.3,0.2
44,deepseek/deepseek-r1-0528,stop,2437.0,194.2353997230529,5323.0,7760.0,0.01257655,,,0.5555555555555556,0.3,0.6,0.4
45,deepseek/deepseek-r1-0528,stop,2967.0,231.99873089790344,7147.0,10114.0,0.01676315,,,0.0909090909090909,0.4,0.5,0.4
46,deepseek/deepseek-r1-0528,stop,3181.0,172.8693482875824,4916.0,8097.0,0.0120735,,,0.25,0.5,0.5,0.4
47,deepseek/deepseek-r1-0528,stop,2789.0,225.0587587356568,6966.0,9755.0,0.016285,,,0.1944444444444444,0.2,0.4,0.2
48,deepseek/deepseek-r1-0528,stop,2600.0,254.5992410182953,7081.0,9681.0,0.01643775,,,0.1666666666666666,0.4,0.3,0.4
49,deepseek/deepseek-r1-0528,stop,2210.0,74.04747605323792,2422.0,4632.0,0.0062259,,,0.3225806451612903,0.4,0.4,0.4
50,deepseek/deepseek-r1-0528,stop,2855.0,224.857474565506,6489.0,9344.0,0.01529245,,,0.2619047619047619,0.2,0.5,0.3
51,deepseek/deepseek-r1-0528,stop,3207.0,156.88298892974854,4547.0,7754.0,0.01129315,,,0.2444444444444444,0.5,0.5,0.4
52,deepseek/deepseek-r1-0528,stop,3615.0,149.06833052635193,5266.0,8881.0,0.013043,,,0.0,0.5,0.4,0.2
53,deepseek/deepseek-r1-0528,stop,2645.0,173.6940417289734,6194.0,8839.0,0.0145532,,,0.2051282051282051,0.2,0.4,0.3
54,deepseek/deepseek-r1-0528,stop,2778.0,224.8062813282013,7711.0,10489.0,0.01788125,,,0.2444444444444444,0.2,0.3,0.2
55,deepseek/deepseek-r1-0528,stop,2317.0,187.8927745819092,5282.0,7599.0,0.0124284,,,0.25,0.5,0.4,0.2
56,deepseek/deepseek-r1-0528,stop,2557.0,142.93985986709595,5147.0,7704.0,0.01225815,,,0.1363636363636363,0.3,0.3,0.2
57,deepseek/deepseek-r1-0528,stop,2565.0,230.2187957763672,7418.0,9983.0,0.0171448,,,0.0,0.5,0.3,0.2
58,deepseek/deepseek-r1-0528,stop,2575.0,225.61398077011108,7140.0,9715.0,0.0165521,,,0.1794871794871795,0.3,0.5,0.3
59,deepseek/deepseek-r1-0528,stop,2554.0,148.7231001853943,4253.0,6807.0,0.01033455,,,0.16,0.3,0.4,0.3
60,deepseek/deepseek-r1-0528,stop,3147.0,224.15229392051697,6263.0,9410.0,0.01495255,,,0.24,0.2,0.4,0.1
61,deepseek/deepseek-r1-0528,stop,2234.0,118.25623607635498,3208.0,5442.0,0.0079278,,,0.1,0.3,0.5,0.4
62,deepseek/deepseek-r1-0528,stop,4217.0,358.3840560913086,10073.0,14290.0,0.02367905,,,0.1,0.4,0.3,0.2
63,deepseek/deepseek-r1-0528,stop,3246.0,280.59355759620667,8014.0,11260.0,0.0187667,,,0.0,0.2,0.2,0.2
64,deepseek/deepseek-r1-0528,stop,2346.0,184.73424744606007,5345.0,7691.0,0.01257835,,,0.14,0.4,0.3,0.3
65,deepseek/deepseek-r1-0528,stop,2313.0,227.77723574638367,6324.0,8637.0,0.0146667,,,0.1627906976744186,0.5,0.5,0.4
66,deepseek/deepseek-r1-0528,stop,1732.0,166.92785453796387,4574.0,6306.0,0.0106137,,,0.0,0.2,0.3,0.2
67,deepseek/deepseek-r1-0528,stop,2299.0,337.835755109787,8366.0,10665.0,0.01905,,,0.2,0.5,0.6,0.6
68,deepseek/deepseek-r1-0528,stop,2911.0,137.02085542678833,3979.0,6890.0,0.00992395,,,0.1578947368421052,0.3,0.4,0.4
69,deepseek/deepseek-r1-0528,stop,2796.0,217.620121717453,6173.0,8969.0,0.01458355,,,0.0,0.2,0.3,0.1
70,deepseek/deepseek-r1-0528,stop,2423.0,230.1664698123932,6503.0,8926.0,0.01510655,,,0.2647058823529412,0.3,0.4,0.2
71,deepseek/deepseek-r1-0528,stop,2415.0,226.922601222992,6123.0,8538.0,0.01428555,,,0.0967741935483871,0.4,0.3,0.2
72,deepseek/deepseek-r1-0528,stop,3491.0,123.38528847694396,3308.0,6799.0,0.0087713,,,0.2,0.3,0.4,0.1
73,deepseek/deepseek-r1-0528,stop,2419.0,297.374626159668,7310.0,9729.0,0.0168396,,,0.2826086956521739,0.8,0.7,0.4
74,deepseek/deepseek-r1-0528,stop,2685.0,336.414785861969,9999.0,12684.0,0.02275395,,,0.2903225806451613,0.3,0.5,0.3
75,deepseek/deepseek-r1-0528,stop,2307.0,250.037704706192,6025.0,8332.0,0.01402085,,,0.1555555555555555,0.2,0.4,0.2
76,deepseek/deepseek-r1-0528,stop,2922.0,235.459018945694,6894.0,9816.0,0.0161967,,,0.2666666666666666,0.6,0.4,0.3
77,deepseek/deepseek-r1-0528,stop,2962.0,195.84193754196167,5730.0,8692.0,0.0137141,,,0.1578947368421052,0.3,0.6,0.3
78,deepseek/deepseek-r1-0528,stop,4119.0,222.9492428302765,6927.0,11046.0,0.01686615,,,0.1428571428571428,0.6,0.5,0.4
79,deepseek/deepseek-r1-0528,stop,2958.0,170.79405236244202,5056.0,8014.0,0.012263,,,0.15,0.3,0.4,0.2
80,deepseek/deepseek-r1-0528,stop,2877.0,232.3481154441833,7356.0,10233.0,0.0171675,,,0.2903225806451613,0.4,0.4,0.5
0,deepseek/deepseek-v3.2,stop,2197.0,183.8935432434082,10424.0,12621.0,0.0167345,1.0,0.95,0.2068965517241379,0.3,0.5,0.3
1,deepseek/deepseek-v3.2,stop,1746.0,204.2468602657318,6287.0,8033.0,0.0025631424,1.0,0.95,0.1764705882352941,0.6,0.5,0.6
2,deepseek/deepseek-v3.2,stop,2551.0,177.3371410369873,9555.0,12106.0,0.015608,1.0,0.95,0.2352941176470588,0.4,0.5,0.2
3,deepseek/deepseek-v3.2,stop,3120.0,346.5817656517029,10950.0,14070.0,0.0044372664,1.0,0.95,0.2857142857142857,0.4,0.5,0.5
4,deepseek/deepseek-v3.2,stop,1632.0,131.3608694076538,4091.0,5723.0,0.0017356248,1.0,0.95,0.1851851851851851,0.3,0.4,0.3
5,deepseek/deepseek-v3.2,stop,2585.0,97.33629822731018,5014.0,7599.0,0.0088135,1.0,0.95,0.3461538461538461,0.2,0.3,0.2
6,deepseek/deepseek-v3.2,stop,2349.0,178.57493042945862,5544.0,7893.0,0.0023147208,1.0,0.95,0.15,0.3,0.5,0.2
7,deepseek/deepseek-v3.2,stop,2092.0,189.48223209381104,9283.0,11375.0,0.00407146,1.0,0.95,,0.1,0.4,0.2
8,deepseek/deepseek-v3.2,stop,2751.0,166.48907709121704,5171.0,7922.0,0.0022673196,1.0,0.95,0.2608695652173913,0.2,0.3,0.3
9,deepseek/deepseek-v3.2,stop,3422.0,170.30165576934814,5274.0,8696.0,0.0023902956,1.0,0.95,0.0833333333333333,0.4,0.5,0.4
10,deepseek/deepseek-v3.2,stop,1986.0,160.0116503238678,4895.0,6881.0,0.00190212165,1.0,0.95,0.2777777777777778,0.3,0.4,0.3
11,deepseek/deepseek-v3.2,stop,2040.0,292.99946546554565,9014.0,11054.0,0.0036437688,1.0,0.95,0.1052631578947368,0.4,0.6,0.4
12,deepseek/deepseek-v3.2,stop,1830.0,248.11491918563843,7099.0,8929.0,0.0028833084,1.0,0.95,0.1428571428571428,0.5,0.7,0.5
13,deepseek/deepseek-v3.2,stop,1587.0,287.7287628650665,8442.0,10029.0,0.0033499116,1.0,0.95,0.12,0.5,0.4,0.4
14,deepseek/deepseek-v3.2,stop,2409.0,153.37377500534058,4038.0,6447.0,0.0017948196,1.0,0.95,0.1481481481481481,0.2,0.4,0.2
15,deepseek/deepseek-v3.2,stop,2837.0,217.557555437088,6195.0,9032.0,0.0026384148,1.0,0.95,0.44,0.5,0.4,0.3
16,deepseek/deepseek-v3.2,stop,2375.0,173.96936082839966,4810.0,7185.0,0.002071944,1.0,0.95,0.5,0.3,0.4,0.3
17,deepseek/deepseek-v3.2,stop,2440.0,206.13716578483584,5789.0,8229.0,0.0024325308,1.0,0.95,0.0833333333333333,0.4,0.5,0.4
18,deepseek/deepseek-v3.2,stop,2115.0,321.863694190979,9897.0,12012.0,0.0039671856,1.0,0.95,0.0975609756097561,0.2,0.4,0.2
19,deepseek/deepseek-v3.2,stop,3101.0,365.790962934494,11276.0,14377.0,0.0041943759,1.0,0.95,0.4736842105263157,0.5,0.6,0.4
20,deepseek/deepseek-v3.2,stop,2789.0,124.56170678138731,3847.0,6636.0,0.0017585064,1.0,0.95,0.0,0.4,0.5,0.3
21,deepseek/deepseek-v3.2,stop,3039.0,390.1162614822388,12119.0,15158.0,0.004892076,1.0,0.95,0.3333333333333333,0.4,0.4,0.4
