index,score,judging_cost,score_Judge (qwen3.6-35b-a3b),legal_ref_sim,prompt_tokens,completion_tokens,total_tokens,total_cost,time,temperature,top_p,finish_reason,model
11,0.5,0.01013012025,0.5,0.16176470588235295,4976.0,10190.0,15166.0,0.0050994,359.6877529621124,1.0,0.95,stop,deepseek/deepseek-v3.2
12,0.7,0.00761615,0.7,0.26666666666666666,7532.0,8981.0,16513.0,0.0053711,173.77698254585266,1.0,0.95,stop,deepseek/deepseek-v3.2
13,0.4,0.01296875,0.4,0.06756756756756757,18460.0,7041.0,25501.0,0.00747518,103.10208868980408,1.0,0.95,stop,deepseek/deepseek-v3.2
14,0.4,0.00746609925,0.4,0.14285714285714285,5446.0,5688.0,11134.0,0.00351084,209.61554145812988,1.0,0.95,stop,deepseek/deepseek-v3.2
15,0.7,0.00898505,0.7,0.12121212121212122,3894.0,6883.0,10777.0,0.0029827224,100.13935661315918,1.0,0.95,stop,deepseek/deepseek-v3.2
16,0.5,0.00774085,0.5,0.28205128205128205,4192.0,5114.0,9306.0,0.0024000228,73.11669111251831,1.0,0.95,stop,deepseek/deepseek-v3.2
17,0.4,0.00897325,0.4,0.12,5027.0,8574.0,13601.0,0.0038010672,124.12629723548888,1.0,0.95,stop,deepseek/deepseek-v3.2
18,0.2,0.00864896625,0.2,0.07352941176470588,9614.0,4615.0,14229.0,0.00418678,93.65464186668396,1.0,0.95,stop,deepseek/deepseek-v3.2
19,0.4,0.0077267,0.4,0.24489795918367346,10589.0,6418.0,17007.0,0.0035814492,105.3760151863098,1.0,0.95,stop,deepseek/deepseek-v3.2
20,0.3,0.00879994,0.3,0.1590909090909091,6460.0,7292.0,13752.0,0.0033881904,105.38191509246826,1.0,0.95,stop,deepseek/deepseek-v3.2
21,0.4,0.012427,0.4,0.2777777777777778,12003.0,5952.0,17955.0,0.0035053452,94.7759449481964,1.0,0.95,stop,deepseek/deepseek-v3.2
22,0.4,0.01227108,0.4,0.08695652173913043,3160.0,6440.0,9600.0,0.0026510484,220.61440920829773,1.0,0.95,stop,deepseek/deepseek-v3.2
23,0.6,0.0107320905,0.6,0.17647058823529413,5658.0,5318.0,10976.0,0.0025505928,79.95459342002869,1.0,0.95,stop,deepseek/deepseek-v3.2
24,0.4,0.008546259,0.4,0.125,9933.0,6641.0,16574.0,0.00510616,109.263432264328,1.0,0.95,stop,deepseek/deepseek-v3.2
25,0.7,0.00867645,0.7,0.16129032258064516,13430.0,13096.0,26526.0,0.0062939016,195.6485686302185,1.0,0.95,stop,deepseek/deepseek-v3.2
26,0.4,0.00862825,0.4,0.10666666666666667,14804.0,4855.0,19659.0,0.00569394,99.99018788337708,1.0,0.95,stop,deepseek/deepseek-v3.2
27,0.4,0.012691,0.4,0.14285714285714285,5843.0,9247.0,15090.0,0.004172868,147.60654854774475,1.0,0.95,stop,deepseek/deepseek-v3.2
28,0.3,0.00744688,0.3,0.08771929824561403,3936.0,6764.0,10700.0,0.003004344,103.66499447822572,1.0,0.95,stop,deepseek/deepseek-v3.2
29,0.6,0.00749135,0.6,0.4583333333333333,3064.0,6157.0,9221.0,0.0026270496,90.6861252784729,1.0,0.95,stop,deepseek/deepseek-v3.2
30,0.6,0.0099778,0.6,0.18518518518518517,3234.0,4371.0,7605.0,0.0019684728,120.74148869514464,1.0,0.95,stop,deepseek/deepseek-v3.2
31,0.6,0.00726878,0.6,0.09615384615384616,5439.0,6396.0,11835.0,0.002999052,94.31873488426208,1.0,0.95,stop,deepseek/deepseek-v3.2
32,0.4,0.00746573,0.4,0.11428571428571428,2682.0,4532.0,7214.0,0.00235292,93.63679265975952,1.0,0.95,stop,deepseek/deepseek-v3.2
33,0.5,0.00634224,0.5,0.14814814814814814,2550.0,10085.0,12635.0,0.004107726,152.57685732841492,1.0,0.95,stop,deepseek/deepseek-v3.2
34,0.6,0.009609771,0.6,0.045454545454545456,13954.0,13157.0,27111.0,0.0086277,257.50083446502686,1.0,0.95,stop,deepseek/deepseek-v3.2
35,0.5,0.00893438,0.5,0.14814814814814814,17365.0,10340.0,27705.0,0.0055672092,148.25278234481812,1.0,0.95,stop,deepseek/deepseek-v3.2
36,0.3,0.00798175,0.3,0.0,6485.0,5241.0,11726.0,0.00268884,78.37353277206421,1.0,0.95,stop,deepseek/deepseek-v3.2
37,0.5,0.0084171,0.5,0.08791208791208792,12662.0,8985.0,21647.0,0.004634406,146.46540188789368,1.0,0.95,stop,deepseek/deepseek-v3.2
38,0.4,0.01015564275,0.4,0.09615384615384616,11686.0,9062.0,20748.0,0.0053235039,146.52656745910645,1.0,0.95,stop,deepseek/deepseek-v3.2
39,0.8,0.00768918,0.8,0.28,3573.0,6739.0,10312.0,0.0029050056,108.5958194732666,1.0,0.95,stop,deepseek/deepseek-v3.2
40,0.4,0.01516527,0.4,0.17647058823529413,10840.0,8123.0,18963.0,0.0041551524,124.22873735427856,1.0,0.95,stop,deepseek/deepseek-v3.2
41,0.4,0.0097891005,0.4,0.06,15300.0,11018.0,26318.0,0.0058689792,154.4119038581848,1.0,0.95,stop,deepseek/deepseek-v3.2
42,0.7,0.00740439,0.7,0.13432835820895522,9430.0,7701.0,17131.0,0.00537818,152.0980899333954,1.0,0.95,stop,deepseek/deepseek-v3.2
43,0.2,0.0090596625,0.2,0.16091954022988506,3530.0,6940.0,10470.0,0.0030325176,168.96557211875916,1.0,0.95,stop,deepseek/deepseek-v3.2
44,0.6,0.00964842,0.6,0.21428571428571427,4296.0,5543.0,9839.0,0.0025738776,82.24460124969482,1.0,0.95,stop,deepseek/deepseek-v3.2
45,0.6,0.00886096,0.6,0.17073170731707318,5754.0,12872.0,18626.0,0.005493474,183.24754428863525,1.0,0.95,stop,deepseek/deepseek-v3.2
46,0.5,0.00835415,0.5,0.10714285714285714,5860.0,10455.0,16315.0,0.0046312812,141.41479086875916,1.0,0.95,stop,deepseek/deepseek-v3.2
47,0.5,0.0083784,0.5,0.1780821917808219,5154.0,6241.0,11395.0,0.0029450736,89.24497151374817,1.0,0.95,stop,deepseek/deepseek-v3.2
48,0.5,0.00796372,0.5,0.1702127659574468,5988.0,5780.0,11768.0,0.0027569052,82.5803496837616,1.0,0.95,stop,deepseek/deepseek-v3.2
49,0.6,0.007263,0.6,0.37777777777777777,4364.0,9308.0,13672.0,0.003930927,242.52452564239505,1.0,0.95,stop,deepseek/deepseek-v3.2
50,0.5,0.00967554,0.5,0.16176470588235295,21299.0,8786.0,30085.0,0.0056452536,127.04126906394958,1.0,0.95,stop,deepseek/deepseek-v3.2
51,0.5,0.00885605,0.5,0.25396825396825395,8457.0,9769.0,18226.0,0.0044814168,142.3308038711548,1.0,0.95,stop,deepseek/deepseek-v3.2
52,0.3,0.0094936305,0.3,0.1,4690.0,9284.0,13974.0,0.016271,95.90119624137878,1.0,0.95,stop,deepseek/deepseek-v3.2
53,0.5,0.00822322,0.5,0.06349206349206349,5967.0,9888.0,15855.0,0.0043076124,129.57998132705688,1.0,0.95,stop,deepseek/deepseek-v3.2
54,0.4,0.0097888,0.4,0.18947368421052632,4352.0,6001.0,10353.0,0.0027137124,92.14084148406982,1.0,0.95,stop,deepseek/deepseek-v3.2
55,0.6,0.00751888,0.6,0.11864406779661017,13040.0,6187.0,19227.0,0.0037913148,96.47179126739502,1.0,0.95,stop,deepseek/deepseek-v3.2
56,0.5,0.01105668,0.5,0.09333333333333334,4453.0,6340.0,10793.0,0.002882502,97.17838525772096,1.0,0.95,stop,deepseek/deepseek-v3.2
57,0.5,0.00769274,0.5,0.1568627450980392,5940.0,5516.0,11456.0,0.0027062532,84.12062406539917,1.0,0.95,stop,deepseek/deepseek-v3.2
58,0.6,0.00891805,0.6,0.1518987341772152,12749.0,12527.0,25276.0,0.0060396588,176.1154501438141,1.0,0.95,stop,deepseek/deepseek-v3.2
59,0.3,0.00957378,0.3,0.10714285714285714,4644.0,7305.0,11949.0,0.0032155704,110.2564582824707,1.0,0.95,stop,deepseek/deepseek-v3.2
60,0.5,0.0099462,0.5,0.07142857142857142,3992.0,12921.0,16913.0,0.0052655148,277.30973076820374,1.0,0.95,stop,deepseek/deepseek-v3.2
61,0.5,0.0081434,0.5,0.2698412698412698,2999.0,6849.0,9848.0,0.0028686168,101.08504819869997,1.0,0.95,stop,deepseek/deepseek-v3.2
62,0.4,0.00938795,0.4,0.2033898305084746,5577.0,7489.0,13066.0,0.0034267968,115.45505619049072,1.0,0.95,stop,deepseek/deepseek-v3.2
63,0.2,0.00843105,0.2,0.3125,5094.0,8257.0,13351.0,0.0037001664,125.3319730758667,1.0,0.95,stop,deepseek/deepseek-v3.2
64,0.5,0.00959604,0.5,0.09302325581395349,14074.0,14315.0,28389.0,0.0069149304,203.0456120967865,1.0,0.95,stop,deepseek/deepseek-v3.2
65,0.4,0.0124636,0.4,0.1323529411764706,9054.0,8778.0,17832.0,0.004244562,176.25827026367188,1.0,0.95,stop,deepseek/deepseek-v3.2
66,0.4,0.00791144,0.4,0.05357142857142857,3065.0,6342.0,9407.0,0.0027040356,94.95964670181274,1.0,0.95,stop,deepseek/deepseek-v3.2
67,0.6,0.00768178,0.6,0.19117647058823528,3811.0,5499.0,9310.0,0.002468592,84.8170952796936,1.0,0.95,stop,deepseek/deepseek-v3.2
68,0.5,0.009248013,0.5,0.08955223880597014,13136.0,10260.0,23396.0,0.0054011412,142.51137256622314,1.0,0.95,stop,deepseek/deepseek-v3.2
69,0.6,0.01278414,0.6,0.10526315789473684,3628.0,7153.0,10781.0,0.0030504096,101.47616267204285,1.0,0.95,stop,deepseek/deepseek-v3.2
70,0.5,0.01187009175,0.5,0.1232876712328767,18006.0,6895.0,24901.0,0.0044487576,93.48586416244508,1.0,0.95,stop,deepseek/deepseek-v3.2
71,0.4,0.00875665,0.4,0.10204081632653061,5263.0,8706.0,13969.0,0.0038294676,120.90810441970824,1.0,0.95,stop,deepseek/deepseek-v3.2
72,0.4,0.00843415,0.4,0.25,5864.0,6144.0,12008.0,0.002922444,93.65712642669678,1.0,0.95,stop,deepseek/deepseek-v3.2
73,0.4,0.0103627875,0.4,0.17857142857142858,18101.0,5775.0,23876.0,0.0042403032,150.78403687477112,1.0,0.95,stop,deepseek/deepseek-v3.2
74,0.4,0.01222025,0.4,0.23728813559322035,4767.0,6172.0,10939.0,0.0027883548,91.69862985610962,1.0,0.95,stop,deepseek/deepseek-v3.2
75,0.3,0.01053584,0.3,0.09195402298850575,4903.0,13668.0,18571.0,0.0057350412,191.42173075675964,1.0,0.95,stop,deepseek/deepseek-v3.2
76,0.7,0.01269275,0.7,0.25806451612903225,6943.0,5677.0,12620.0,0.0028722204,81.35775351524353,1.0,0.95,stop,deepseek/deepseek-v3.2
77,0.5,0.01077844,0.5,0.11538461538461539,16333.0,8187.0,24520.0,0.0046547928,118.08007788658142,1.0,0.95,stop,deepseek/deepseek-v3.2
78,0.5,0.00888994,0.5,0.35714285714285715,6666.0,8329.0,14995.0,0.0038758608,115.18779611587524,1.0,0.95,stop,deepseek/deepseek-v3.2
79,0.6,0.0151522,0.6,0.19148936170212766,4262.0,7486.0,11748.0,0.003294774,112.56011748313904,1.0,0.95,stop,deepseek/deepseek-v3.2
80,0.4,0.01084226325,0.4,0.15,3847.0,11610.0,15457.0,0.0047821788,155.4728684425354,1.0,0.95,stop,deepseek/deepseek-v3.2
